,Mes,Nom mes,Any,Regió Policial (RP),Àrea Bàsica Policial (ABP),Títol Codi Penal,Tipus de fet,Coneguts,Resolts,Detencions
0,1,gener,2011,RP  Metropolitana Nord,ABP Arenys de Mar,De les falsedats,De la usurpació de l'estat civil,2,,
1,1,gener,2011,RP  Metropolitana Nord,ABP Arenys de Mar,De les falsedats,Falsedats documentals,2,1,
2,1,gener,2011,RP  Metropolitana Nord,ABP Arenys de Mar,De les lesions,Lesions,27,27,16
3,1,gener,2011,RP  Metropolitana Nord,ABP Arenys de Mar,De les tortures i altres delictes contra la integritat moral,Tracte degradant / vexatori,6,6,2
4,1,gener,2011,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Apropiació indeguda,4,4,4
5,1,gener,2011,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,19,,
6,1,gener,2011,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Estafes,18,4,
7,1,gener,2011,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt,41,8,4
8,1,gener,2011,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Receptació i altres conductes afins,1,1,2
9,1,gener,2011,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb força,122,15,11
10,1,gener,2011,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb força interior vehicle,54,3,1
11,1,gener,2011,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb violència i/o intimidació,15,,
12,1,gener,2011,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori i furt d'us de vehicle,14,6,
13,1,gener,2011,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Usurpació,,1,
14,1,gener,2011,RP  Metropolitana Nord,ABP Arenys de Mar,"Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili",Descobriment i revelació de secrets,2,2,
15,1,gener,2011,RP  Metropolitana Nord,ABP Arenys de Mar,"Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili",Entrada a domicili aliè,2,1,
16,1,gener,2011,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra la llibertat,Amenaces,6,5,3
17,1,gener,2011,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra l'Administració de justícia,Trencament de condemna,4,3,2
18,1,gener,2011,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra les relacions familiars,Contra els drets i deures familiars,9,9,
19,1,gener,2011,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra l'ordre públic,Altres delictes contra l'ordre públic,5,5,3
20,1,gener,2011,RP  Metropolitana Nord,ABP Arenys de Mar,Dels delictes contra la seguretat col·lectiva,Incendi,3,1,1
21,1,gener,2011,RP  Metropolitana Nord,ABP Arenys de Mar,"Dels delictes relatius a l’ordenació del territori i l’urbanisme, la protecció del patrimoni històric i el medi ambient",Contra els recursos naturals i el medi ambient,1,,
22,1,gener,2011,RP  Metropolitana Nord,ABP Arenys de Mar,Faltes contra el patrimoni,Faltes contra el patrimoni,180,25,
23,1,gener,2011,RP  Metropolitana Nord,ABP Arenys de Mar,Faltes contra les persones,Faltes contra les persones,50,45,
24,1,gener,2011,RP  Metropolitana Nord,ABP Arenys de Mar,Faltes contra l'ordre públic,Faltes contra l'ordre públic,10,10,
25,1,gener,2011,RP  Metropolitana Nord,ABP Badalona,De l’homicidi i les seves formes,Homicidi per imprudència,,,1
26,1,gener,2011,RP  Metropolitana Nord,ABP Badalona,De l’homicidi i les seves formes,Homicidi temptativa,,1,1
27,1,gener,2011,RP  Metropolitana Nord,ABP Badalona,De les falsedats,De la usurpació de l'estat civil,1,,
28,1,gener,2011,RP  Metropolitana Nord,ABP Badalona,De les falsedats,Falsedats documentals,1,1,
29,1,gener,2011,RP  Metropolitana Nord,ABP Badalona,De les lesions,Lesions,32,27,22
30,1,gener,2011,RP  Metropolitana Nord,ABP Badalona,De les tortures i altres delictes contra la integritat moral,Tracte degradant / vexatori,6,6,1
31,1,gener,2011,RP  Metropolitana Nord,ABP Badalona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Apropiació indeguda,5,6,3
