,Mes,Nom mes,Any,Regió Policial (RP),Àrea Bàsica Policial (ABP),Títol Codi Penal,Tipus de fet,Coneguts,Resolts,Detencions
0,1,gener,2012,RP  Metropolitana Nord,ABP Arenys de Mar,De les falsedats,De la usurpació de l'estat civil,2,,
1,1,gener,2012,RP  Metropolitana Nord,ABP Arenys de Mar,De les lesions,Lesions,18,17,9
2,1,gener,2012,RP  Metropolitana Nord,ABP Arenys de Mar,De les tortures i altres delictes contra la integritat moral,Tracte degradant / vexatori,5,5,1
3,1,gener,2012,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Apropiació indeguda,6,5,
4,1,gener,2012,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,29,5,
5,1,gener,2012,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Defraudacions de fluid elèctric i anàlogues,1,1,
6,1,gener,2012,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Estafes,5,3,1
7,1,gener,2012,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt,52,10,4
8,1,gener,2012,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Receptació i altres conductes afins,3,2,
9,1,gener,2012,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb força,139,26,6
10,1,gener,2012,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb força interior vehicle,34,2,2
11,1,gener,2012,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb violència i/o intimidació,14,7,3
12,1,gener,2012,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori i furt d'us de vehicle,9,7,
13,1,gener,2012,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra la llibertat,Amenaces,5,3,2
14,1,gener,2012,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra la llibertat,Coaccions,3,3,
15,1,gener,2012,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra la llibertat i la indemnitat sexuals,Abusos sexuals,1,,
16,1,gener,2012,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra la llibertat i la indemnitat sexuals,Relatius a la prostitució,1,,
17,1,gener,2012,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra l'Administració de justícia,"Acusació, denúncia falsa i simulació de delictes",2,1,
18,1,gener,2012,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra l'Administració de justícia,Realització arbitrària del propi dret,1,1,
19,1,gener,2012,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra l'Administració de justícia,Trencament de condemna,2,2,2
20,1,gener,2012,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra les relacions familiars,Contra els drets i deures familiars,8,7,
21,1,gener,2012,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra l'ordre públic,Desordres públics,1,1,1
22,1,gener,2012,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra l'ordre públic,Altres delictes contra l'ordre públic,3,4,2
23,1,gener,2012,RP  Metropolitana Nord,ABP Arenys de Mar,Dels delictes contra la seguretat col·lectiva,Contra la salut pública,2,4,
24,1,gener,2012,RP  Metropolitana Nord,ABP Arenys de Mar,Faltes contra el patrimoni,Faltes contra el patrimoni,221,27,
25,1,gener,2012,RP  Metropolitana Nord,ABP Arenys de Mar,Faltes contra els interessos generals,Faltes contra els interessos generals,2,1,
26,1,gener,2012,RP  Metropolitana Nord,ABP Arenys de Mar,Faltes contra les persones,Faltes contra les persones,66,55,
27,1,gener,2012,RP  Metropolitana Nord,ABP Arenys de Mar,Faltes contra l'ordre públic,Faltes contra l'ordre públic,2,2,
28,1,gener,2012,RP  Metropolitana Nord,ABP Badalona,De l’homicidi i les seves formes,Assassinat temptativa,1,1,1
29,1,gener,2012,RP  Metropolitana Nord,ABP Badalona,De les falsedats,De la usurpació de l'estat civil,2,,
