,Mes,Nom mes,Any,Regió Policial (RP),Àrea Bàsica Policial (ABP),Títol Codi Penal,Tipus de fet,Coneguts,Resolts,Detencions
0,1,gener,2015,RP  Metropolitana Nord,ABP Arenys de Mar,De les falsedats,Falsedats documentals,1,,1
1,1,gener,2015,RP  Metropolitana Nord,ABP Arenys de Mar,De les falsedats,Falsificació de moneda i efectes timbrats,,,1
2,1,gener,2015,RP  Metropolitana Nord,ABP Arenys de Mar,De les lesions,Lesions,25,20,7
3,1,gener,2015,RP  Metropolitana Nord,ABP Arenys de Mar,De les tortures i altres delictes contra la integritat moral,Tracte degradant / vexatori,6,5,3
4,1,gener,2015,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Apropiació indeguda,5,5,
5,1,gener,2015,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,17,4,
6,1,gener,2015,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Defraudacions de fluid elèctric i anàlogues,1,1,
7,1,gener,2015,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Estafes,13,3,
8,1,gener,2015,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt,37,4,
9,1,gener,2015,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Ocupació immobles,21,18,
10,1,gener,2015,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Receptació i altres conductes afins,1,,2
11,1,gener,2015,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb força,127,14,9
12,1,gener,2015,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb força interior vehicle,29,1,
13,1,gener,2015,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb violència i/o intimidació,17,9,3
14,1,gener,2015,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori i furt d'us de vehicle,5,4,
15,1,gener,2015,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra la llibertat,Amenaces,7,7,1
16,1,gener,2015,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra la llibertat,Coaccions,3,3,
17,1,gener,2015,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra la llibertat i la indemnitat sexuals,Abusos sexuals,1,1,
18,1,gener,2015,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra la llibertat i la indemnitat sexuals,Agressions sexuals,1,1,
19,1,gener,2015,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra la llibertat i la indemnitat sexuals,Exhibicionisme i provocació sexual,3,1,1
20,1,gener,2015,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra l'Administració de justícia,"Acusació, denúncia falsa i simulació de delictes",4,1,
21,1,gener,2015,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra l'Administració de justícia,Trencament de condemna,2,2,
22,1,gener,2015,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra les relacions familiars,Contra els drets i deures familiars,6,6,
23,1,gener,2015,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra l'ordre públic,Altres delictes contra l'ordre públic,6,6,3
24,1,gener,2015,RP  Metropolitana Nord,ABP Arenys de Mar,Dels delictes contra la seguretat col·lectiva,Contra la salut pública,2,4,3
