,Mes,Nom mes,Any,Regió Policial (RP),Àrea Bàsica Policial (ABP),Títol Codi Penal,Tipus de fet,Coneguts,Resolts,Detencions
0,1,gener,2017,RP  Metropolitana Nord,ABP Arenys de Mar,De les falsedats,De la usurpació de l'estat civil,3,2,
1,1,gener,2017,RP  Metropolitana Nord,ABP Arenys de Mar,De les falsedats,Falsedats documentals,3,1,
2,1,gener,2017,RP  Metropolitana Nord,ABP Arenys de Mar,De les falsedats,Falsificació de moneda i efectes timbrats,1,,
3,1,gener,2017,RP  Metropolitana Nord,ABP Arenys de Mar,De les lesions,Lesions,31,23,5
4,1,gener,2017,RP  Metropolitana Nord,ABP Arenys de Mar,De les tortures i altres delictes contra la integritat moral,Tracte degradant / vexatori,4,4,1
5,1,gener,2017,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Apropiació indeguda,7,2,
6,1,gener,2017,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,100,15,
7,1,gener,2017,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Defraudacions de fluid elèctric i anàlogues,1,2,
8,1,gener,2017,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Estafes,62,9,
9,1,gener,2017,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Extorsió,2,,
10,1,gener,2017,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt,136,16,1
11,1,gener,2017,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Ocupació immobles,9,7,
12,1,gener,2017,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Receptació i altres conductes afins,1,2,
13,1,gener,2017,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb força,103,14,12
14,1,gener,2017,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb força interior vehicle,24,1,
