,Mes,Nom mes,Any,Regió Policial (RP),Àrea Bàsica Policial (ABP),Títol Codi Penal,Tipus de fet,Coneguts,Resolts,Detencions
0,1,gener,2014,RP  Metropolitana Nord,ABP Arenys de Mar,De l’homicidi i les seves formes,Homicidi temptativa,1,1,1
1,1,gener,2014,RP  Metropolitana Nord,ABP Arenys de Mar,De les falsedats,De la usurpació de l'estat civil,2,,
2,1,gener,2014,RP  Metropolitana Nord,ABP Arenys de Mar,De les falsedats,Falsedats documentals,4,3,2
3,1,gener,2014,RP  Metropolitana Nord,ABP Arenys de Mar,De les lesions,Lesions,24,24,9
4,1,gener,2014,RP  Metropolitana Nord,ABP Arenys de Mar,De les tortures i altres delictes contra la integritat moral,Tracte degradant / vexatori,4,4,1
5,1,gener,2014,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Apropiació indeguda,5,5,
6,1,gener,2014,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,24,5,1
7,1,gener,2014,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Estafes,22,5,1
8,1,gener,2014,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Extorsió,1,1,
9,1,gener,2014,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt,40,4,1
10,1,gener,2014,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Ocupació immobles,2,2,
11,1,gener,2014,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Receptació i altres conductes afins,2,2,1
12,1,gener,2014,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb força,126,9,6
13,1,gener,2014,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb força interior vehicle,45,2,2
14,1,gener,2014,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb violència i/o intimidació,19,4,2
15,1,gener,2014,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori i furt d'us de vehicle,17,6,3
16,1,gener,2014,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Usurpació,1,1,
17,1,gener,2014,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra l’honor,Calúmnia,1,1,
18,1,gener,2014,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra la llibertat,Amenaces,10,10,4
19,1,gener,2014,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra la llibertat,Coaccions,2,2,
20,1,gener,2014,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra l'Administració de justícia,"Acusació, denúncia falsa i simulació de delictes",7,7,
21,1,gener,2014,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra l'Administració de justícia,Trencament de condemna,3,2,1
22,1,gener,2014,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra les relacions familiars,Contra els drets i deures familiars,9,8,
23,1,gener,2014,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra l'ordre públic,Organitzacions i grups criminals,1,,
24,1,gener,2014,RP  Metropolitana Nord,ABP Arenys de Mar,Delictes contra l'ordre públic,Altres delictes contra l'ordre públic,3,3,2
25,1,gener,2014,RP  Metropolitana Nord,ABP Arenys de Mar,Dels delictes contra la seguretat col·lectiva,Contra la salut pública,1,1,
26,1,gener,2014,RP  Metropolitana Nord,ABP Arenys de Mar,Faltes contra el patrimoni,Faltes contra el patrimoni,207,28,
27,1,gener,2014,RP  Metropolitana Nord,ABP Arenys de Mar,Faltes contra els interessos generals,Faltes contra els interessos generals,1,,
28,1,gener,2014,RP  Metropolitana Nord,ABP Arenys de Mar,Faltes contra les persones,Faltes contra les persones,54,47,
29,1,gener,2014,RP  Metropolitana Nord,ABP Arenys de Mar,Faltes contra l'ordre públic,Faltes contra l'ordre públic,2,2,
30,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,De les falsedats,De la usurpació de l'estat civil,3,2,1
31,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,De les falsedats,Falsedats documentals,5,5,1
32,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,De les falsedats,Usurpació de funcions públiques i intrusisme,1,1,
33,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,De les lesions,Lesions,28,23,14
34,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,De les tortures i altres delictes contra la integritat moral,Tracte degradant / vexatori,7,7,1
35,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Apropiació indeguda,8,8,1
36,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,44,7,3
37,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Defraudacions de fluid elèctric i anàlogues,1,,
38,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Estafes,25,3,2
39,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt,78,10,15
40,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Ocupació immobles,27,25,8
41,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Propietat industrial,1,1,
42,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Receptació i altres conductes afins,8,6,2
43,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb força,107,25,25
44,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb força interior vehicle,99,1,1
45,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb violència i/o intimidació,167,21,17
46,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori i furt d'us de vehicle,35,21,
47,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,"Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili",Descobriment i revelació de secrets,1,,
48,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,"Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili",Entrada a domicili aliè,1,1,
49,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,Delictes contra la llibertat,Amenaces,16,15,10
50,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,Delictes contra la llibertat,Coaccions,1,,
51,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,Delictes contra la llibertat,Detenció il·legal,1,1,1
52,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,Delictes contra la llibertat i la indemnitat sexuals,Abusos sexuals,2,1,1
53,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,Delictes contra la llibertat i la indemnitat sexuals,Agressions sexuals,4,3,2
54,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,Delictes contra la llibertat i la indemnitat sexuals,Relatius a la prostitució,1,1,
55,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,Delictes contra l'Administració de justícia,"Acusació, denúncia falsa i simulació de delictes",4,3,
56,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,Delictes contra l'Administració de justícia,Obstrucció a la justícia i deslleialtat professional,2,,
57,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,Delictes contra l'Administració de justícia,Realització arbitrària del propi dret,1,1,
58,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,Delictes contra l'Administració de justícia,Trencament de condemna,7,7,6
59,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,Delictes contra les relacions familiars,Contra els drets i deures familiars,7,7,
60,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,Delictes contra l'ordre públic,Desordres públics,1,1,
61,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,Delictes contra l'ordre públic,Altres delictes contra l'ordre públic,13,11,15
62,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,Dels delictes contra la seguretat col·lectiva,Contra la salut pública,7,3,5
63,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,Faltes contra el patrimoni,Faltes contra el patrimoni,510,67,4
64,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,Faltes contra els interessos generals,Faltes contra els interessos generals,6,4,
65,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,Faltes contra les persones,Faltes contra les persones,79,76,
66,1,gener,2014,RP  Metropolitana Nord,ABP Badalona,Faltes contra l'ordre públic,Faltes contra l'ordre públic,4,5,
67,1,gener,2014,RP  Metropolitana Nord,ABP Cerdanyola,De l’homicidi i les seves formes,Homicidi temptativa,2,,
68,1,gener,2014,RP  Metropolitana Nord,ABP Cerdanyola,De les falsedats,De la usurpació de l'estat civil,2,2,
69,1,gener,2014,RP  Metropolitana Nord,ABP Cerdanyola,De les falsedats,Falsedats documentals,2,1,
70,1,gener,2014,RP  Metropolitana Nord,ABP Cerdanyola,De les falsedats,Usurpació de funcions públiques i intrusisme,2,1,1
71,1,gener,2014,RP  Metropolitana Nord,ABP Cerdanyola,De les lesions,Lesions,8,9,2
72,1,gener,2014,RP  Metropolitana Nord,ABP Cerdanyola,De les tortures i altres delictes contra la integritat moral,Tracte degradant / vexatori,6,6,2
73,1,gener,2014,RP  Metropolitana Nord,ABP Cerdanyola,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Apropiació indeguda,4,,
74,1,gener,2014,RP  Metropolitana Nord,ABP Cerdanyola,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,14,5,
75,1,gener,2014,RP  Metropolitana Nord,ABP Cerdanyola,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Estafes,18,4,1
76,1,gener,2014,RP  Metropolitana Nord,ABP Cerdanyola,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Furt,75,9,8
77,1,gener,2014,RP  Metropolitana Nord,ABP Cerdanyola,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Ocupació immobles,3,2,
78,1,gener,2014,RP  Metropolitana Nord,ABP Cerdanyola,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Receptació i altres conductes afins,3,4,3
79,1,gener,2014,RP  Metropolitana Nord,ABP Cerdanyola,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb força,61,7,14
80,1,gener,2014,RP  Metropolitana Nord,ABP Cerdanyola,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb força interior vehicle,45,6,2
81,1,gener,2014,RP  Metropolitana Nord,ABP Cerdanyola,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb violència i/o intimidació,47,19,19
82,1,gener,2014,RP  Metropolitana Nord,ABP Cerdanyola,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori i furt d'us de vehicle,13,8,
83,1,gener,2014,RP  Metropolitana Nord,ABP Cerdanyola,"Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili",Descobriment i revelació de secrets,,1,
84,1,gener,2014,RP  Metropolitana Nord,ABP Cerdanyola,"Delictes contra la intimitat, el dret a la pròpia imatge i la inviolabilitat del domicili",Entrada a domicili aliè,1,1,
85,1,gener,2014,RP  Metropolitana Nord,ABP Cerdanyola,Delictes contra la llibertat,Amenaces,7,7,5
86,1,gener,2014,RP  Metropolitana Nord,ABP Cerdanyola,Delictes contra la llibertat,Coaccions,,1,
87,1,gener,2014,RP  Metropolitana Nord,ABP Cerdanyola,Delictes contra la llibertat i la indemnitat sexuals,Abusos sexuals,1,,
88,1,gener,2014,RP  Metropolitana Nord,ABP Cerdanyola,Delictes contra la llibertat i la indemnitat sexuals,Agressions sexuals,2,1,1
89,1,gener,2014,RP  Metropolitana Nord,ABP Cerdanyola,Delictes contra la llibertat i la indemnitat sexuals,Assetjament sexual,1,1,
90,1,gener,2014,RP  Metropolitana Nord,ABP Cerdanyola,Delictes contra la llibertat i la indemnitat sexuals,Exhibicionisme i provocació sexual,1,,
91,1,gener,2014,RP  Metropolitana Nord,ABP Cerdanyola,Delictes contra l'Administració de justícia,"Acusació, denúncia falsa i simulació de delictes",5,5,2
92,1,gener,2014,RP  Metropolitana Nord,ABP Cerdanyola,Delictes contra l'Administració de justícia,Trencament de condemna,5,6,2
93,1,gener,2014,RP  Metropolitana Nord,ABP Cerdanyola,Delictes contra les relacions familiars,Contra els drets i deures familiars,4,4,
94,1,gener,2014,RP  Metropolitana Nord,ABP Cerdanyola,Delictes contra l'ordre públic,Altres delictes contra l'ordre públic,3,3,4
95,1,gener,2014,RP  Metropolitana Nord,ABP Cerdanyola,Dels delictes contra la seguretat col·lectiva,Contra la salut pública,2,2,2
96,1,gener,2014,RP  Metropolitana Nord,ABP Cerdanyola,Faltes contra el patrimoni,Faltes contra el patrimoni,363,30,1
97,1,gener,2014,RP  Metropolitana Nord,ABP Cerdanyola,Faltes contra els interessos generals,Faltes contra els interessos generals,1,1,
98,1,gener,2014,RP  Metropolitana Nord,ABP Cerdanyola,Faltes contra les persones,Faltes contra les persones,41,39,
99,1,gener,2014,RP  Metropolitana Nord,ABP Cerdanyola,Faltes contra l'ordre públic,Faltes contra l'ordre públic,8,8,
100,1,gener,2014,RP  Metropolitana Nord,ABP Granollers,De l’homicidi i les seves formes,Homicidi temptativa,1,1,1
101,1,gener,2014,RP  Metropolitana Nord,ABP Granollers,De les falsedats,De la usurpació de l'estat civil,5,1,
102,1,gener,2014,RP  Metropolitana Nord,ABP Granollers,De les falsedats,Falsedats documentals,6,5,
103,1,gener,2014,RP  Metropolitana Nord,ABP Granollers,De les falsedats,Usurpació de funcions públiques i intrusisme,1,1,
104,1,gener,2014,RP  Metropolitana Nord,ABP Granollers,De les lesions,Lesions,37,38,13
105,1,gener,2014,RP  Metropolitana Nord,ABP Granollers,De les tortures i altres delictes contra la integritat moral,Tracte degradant / vexatori,3,3,2
