,crime,quantity,year,trimester,city
89,    5.1.-Agresión sexual con penetración,2,2019,1,Las Palmas de Gran Canaria
90,    5.2.-Resto de delitos contra la libertad e indemnidad sexual,64,2019,1,Las Palmas de Gran Canaria
91,    6.-Robos con violencia e intimidación,75,2019,1,Las Palmas de Gran Canaria
92,"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",112,2019,1,Las Palmas de Gran Canaria
93,    7.1.-Robos con fuerza en domicilios,56,2019,1,Las Palmas de Gran Canaria
94,    8.-Hurtos,1250,2019,1,Las Palmas de Gran Canaria
95,    9.-Sustracciones de vehículos,64,2019,1,Las Palmas de Gran Canaria
96,    10.-Tráfico de drogas,31,2019,1,Las Palmas de Gran Canaria
97,    Resto de infracciones penales,2598,2019,1,Las Palmas de Gran Canaria
98,    1.-Homicidios dolosos y asesinatos consumados,0,2019,1,Valladolid
99,    2.-Homicidios dolosos y asesinatos en grado tentativa,2,2019,1,Valladolid
100,    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,30,2019,1,Valladolid
101,    4.-Secuestro,0,2019,1,Valladolid
102,    5.-Delitos contra la libertad e indemnidad sexual,17,2019,1,Valladolid
103,    5.1.-Agresión sexual con penetración,3,2019,1,Valladolid
104,    5.2.-Resto de delitos contra la libertad e indemnidad sexual,14,2019,1,Valladolid
105,    6.-Robos con violencia e intimidación,21,2019,1,Valladolid
106,"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",127,2019,1,Valladolid
107,    7.1.-Robos con fuerza en domicilios,57,2019,1,Valladolid
108,    8.-Hurtos,829,2019,1,Valladolid
109,    9.-Sustracciones de vehículos,21,2019,1,Valladolid
110,    10.-Tráfico de drogas,10,2019,1,Valladolid
111,    Resto de infracciones penales,1338,2019,1,Valladolid
112,    1.-Homicidios dolosos y asesinatos consumados,1,2019,1,Barcelona
113,    2.-Homicidios dolosos y asesinatos en grado tentativa,13,2019,1,Barcelona
114,    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,848,2019,1,Barcelona
115,    4.-Secuestro,0,2019,1,Barcelona
116,    5.-Delitos contra la libertad e indemnidad sexual,213,2019,1,Barcelona
117,    5.1.-Agresión sexual con penetración,26,2019,1,Barcelona
118,    5.2.-Resto de delitos contra la libertad e indemnidad sexual,187,2019,1,Barcelona
119,    6.-Robos con violencia e intimidación,3549,2019,1,Barcelona
120,"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",2346,2019,1,Barcelona
121,    7.1.-Robos con fuerza en domicilios,1241,2019,1,Barcelona
122,    8.-Hurtos,26836,2019,1,Barcelona
123,    9.-Sustracciones de vehículos,1294,2019,1,Barcelona
124,    10.-Tráfico de drogas,140,2019,1,Barcelona
125,    Resto de infracciones penales,14123,2019,1,Barcelona
126,    1.-Homicidios dolosos y asesinatos consumados,0,2019,1,Alicante
127,    2.-Homicidios dolosos y asesinatos en grado tentativa,0,2019,1,Alicante
128,    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,30,2019,1,Alicante
129,    4.-Secuestro,0,2019,1,Alicante
130,    5.-Delitos contra la libertad e indemnidad sexual,26,2019,1,Alicante
131,    5.1.-Agresión sexual con penetración,2,2019,1,Alicante
132,    5.2.-Resto de delitos contra la libertad e indemnidad sexual,24,2019,1,Alicante
133,    6.-Robos con violencia e intimidación,108,2019,1,Alicante
134,"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",314,2019,1,Alicante
135,    7.1.-Robos con fuerza en domicilios,264,2019,1,Alicante
136,    8.-Hurtos,1670,2019,1,Alicante
137,    9.-Sustracciones de vehículos,118,2019,1,Alicante
138,    10.-Tráfico de drogas,57,2019,1,Alicante
139,    Resto de infracciones penales,2306,2019,1,Alicante
140,    1.-Homicidios dolosos y asesinatos consumados,3,2019,1,Valencia
141,    2.-Homicidios dolosos y asesinatos en grado tentativa,8,2019,1,Valencia
142,    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,106,2019,1,Valencia
143,    4.-Secuestro,0,2019,1,Valencia
144,    5.-Delitos contra la libertad e indemnidad sexual,94,2019,1,Valencia
145,    5.1.-Agresión sexual con penetración,7,2019,1,Valencia
146,    5.2.-Resto de delitos contra la libertad e indemnidad sexual,87,2019,1,Valencia
147,    6.-Robos con violencia e intimidación,517,2019,1,Valencia
148,"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",715,2019,1,Valencia
149,    7.1.-Robos con fuerza en domicilios,453,2019,1,Valencia
150,    8.-Hurtos,5468,2019,1,Valencia
151,    9.-Sustracciones de vehículos,187,2019,1,Valencia
152,    10.-Tráfico de drogas,69,2019,1,Valencia
153,    Resto de infracciones penales,5441,2019,1,Valencia
154,    1.-Homicidios dolosos y asesinatos consumados,1,2019,1,Vigo
155,    2.-Homicidios dolosos y asesinatos en grado tentativa,1,2019,1,Vigo
156,    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,22,2019,1,Vigo
157,    4.-Secuestro,0,2019,1,Vigo
158,    5.-Delitos contra la libertad e indemnidad sexual,17,2019,1,Vigo
159,    5.1.-Agresión sexual con penetración,2,2019,1,Vigo
160,    5.2.-Resto de delitos contra la libertad e indemnidad sexual,15,2019,1,Vigo
161,    6.-Robos con violencia e intimidación,38,2019,1,Vigo
162,"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",154,2019,1,Vigo
163,    7.1.-Robos con fuerza en domicilios,65,2019,1,Vigo
164,    8.-Hurtos,755,2019,1,Vigo
165,    9.-Sustracciones de vehículos,55,2019,1,Vigo
166,    10.-Tráfico de drogas,23,2019,1,Vigo
167,    Resto de infracciones penales,1523,2019,1,Vigo
168,    1.-Homicidios dolosos y asesinatos consumados,4,2019,1,Madrid
169,    2.-Homicidios dolosos y asesinatos en grado tentativa,7,2019,1,Madrid
170,    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,342,2019,1,Madrid
171,    4.-Secuestro,1,2019,1,Madrid
172,    5.-Delitos contra la libertad e indemnidad sexual,288,2019,1,Madrid
173,    5.1.-Agresión sexual con penetración,27,2019,1,Madrid
174,    5.2.-Resto de delitos contra la libertad e indemnidad sexual,261,2019,1,Madrid
175,    6.-Robos con violencia e intimidación,2543,2019,1,Madrid
176,"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",2367,2019,1,Madrid
177,    7.1.-Robos con fuerza en domicilios,1252,2019,1,Madrid
178,    8.-Hurtos,30206,2019,1,Madrid
179,    9.-Sustracciones de vehículos,1281,2019,1,Madrid
180,    10.-Tráfico de drogas,450,2019,1,Madrid
181,    Resto de infracciones penales,27311,2019,1,Madrid
182,    1.-Homicidios dolosos y asesinatos consumados,1,2019,1,Murcia
183,    2.-Homicidios dolosos y asesinatos en grado tentativa,5,2019,1,Murcia
184,    3.-Delitos graves y menos graves de lesiones y riña tumultuaria,51,2019,1,Murcia
185,    4.-Secuestro,0,2019,1,Murcia
186,    5.-Delitos contra la libertad e indemnidad sexual,46,2019,1,Murcia
187,    5.1.-Agresión sexual con penetración,2,2019,1,Murcia
188,    5.2.-Resto de delitos contra la libertad e indemnidad sexual,44,2019,1,Murcia
189,    6.-Robos con violencia e intimidación,170,2019,1,Murcia
190,"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",519,2019,1,Murcia
191,    7.1.-Robos con fuerza en domicilios,395,2019,1,Murcia
