
Balances trimestrales de criminalidad - 2019. 1er Trimestre
Indicadores de seguridad 2019 - 1er Trimestre por geografía,  tipología penal y periodos.
Unidades: Hechos conocidos

;Enero-marzo 2018;Enero-marzo 2019;Variación % 2019/2018;
ANDALUCÍA;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;3.0;2.0;-33.3;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;1.0;2.0;100.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;1.0;2.0;100.0;
    6.-Robos con violencia e intimidación;12.0;10.0;-16.7;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;53.0;33.0;-37.7;
    7.1.-Robos con fuerza en domicilios;34.0;23.0;-32.4;
    8.-Hurtos;165.0;104.0;-37.0;
    9.-Sustracciones de vehículos;2.0;3.0;50.0;
    10.-Tráfico de drogas;2.0;3.0;50.0;
    Resto de infracciones penales;220.0;222.0;0.9;
    TOTAL INFRACCIONES PENALES;459.0;379.0;-17.4;
- Municipio de Palacios y Villafranca (Los);
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;1.0;0.0;-100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;2.0;1.0;-50.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;0.0;0.0;0.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;0.0;0.0;0.0;
    6.-Robos con violencia e intimidación;2.0;2.0;0.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;37.0;17.0;-54.1;
    7.1.-Robos con fuerza en domicilios;19.0;11.0;-42.1;
    8.-Hurtos;40.0;48.0;20.0;
    9.-Sustracciones de vehículos;1.0;1.0;0.0;
    10.-Tráfico de drogas;1.0;3.0;200.0;
    Resto de infracciones penales;126.0;136.0;7.9;
    TOTAL INFRACCIONES PENALES;210.0;208.0;-1.0;
- Municipio de Rinconada (La);
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;1.0;100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;3.0;5.0;66.7;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;2.0;3.0;50.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;2.0;3.0;50.0;
    6.-Robos con violencia e intimidación;1.0;6.0;500.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;31.0;25.0;-19.4;
    7.1.-Robos con fuerza en domicilios;19.0;15.0;-21.1;
    8.-Hurtos;66.0;59.0;-10.6;
    9.-Sustracciones de vehículos;0.0;2.0;100.0;
    10.-Tráfico de drogas;1.0;2.0;100.0;
    Resto de infracciones penales;179.0;181.0;1.1;
    TOTAL INFRACCIONES PENALES;283.0;284.0;0.4;
- Municipio de Sevilla;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;5.0;5.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;43.0;53.0;23.3;
    4.-Secuestro;0.0;2.0;100.0;
    5.-Delitos contra la libertad e indemnidad sexual;65.0;77.0;18.5;
    5.1.-Agresión sexual con penetración;6.0;7.0;16.7;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;59.0;70.0;18.6;
    6.-Robos con violencia e intimidación;361.0;437.0;21.1;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;414.0;739.0;78.5;
    7.1.-Robos con fuerza en domicilios;182.0;265.0;45.6;
    8.-Hurtos;4217.0;4467.0;5.9;
    9.-Sustracciones de vehículos;254.0;320.0;26.0;
    10.-Tráfico de drogas;29.0;40.0;37.9;
    Resto de infracciones penales;5362.0;6012.0;12.1;
    TOTAL INFRACCIONES PENALES;10750.0;12152.0;13.0;
- Municipio de Utrera;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;1.0;0.0;-100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;2.0;7.0;250.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;2.0;3.0;50.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;2.0;3.0;50.0;
    6.-Robos con violencia e intimidación;10.0;9.0;-10.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;81.0;58.0;-28.4;
    7.1.-Robos con fuerza en domicilios;33.0;37.0;12.1;
    8.-Hurtos;113.0;106.0;-6.2;
    9.-Sustracciones de vehículos;2.0;0.0;-100.0;
    10.-Tráfico de drogas;2.0;0.0;-100.0;
    Resto de infracciones penales;263.0;271.0;3.0;
    TOTAL INFRACCIONES PENALES;476.0;454.0;-4.6;
ARAGÓN;
    1.-Homicidios dolosos y asesinatos consumados;0.0;3.0;100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;1.0;1.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;112.0;107.0;-4.5;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;71.0;70.0;-1.4;
    5.1.-Agresión sexual con penetración;7.0;6.0;-14.3;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;64.0;64.0;0.0;
    6.-Robos con violencia e intimidación;192.0;256.0;33.3;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;625.0;598.0;-4.3;
    7.1.-Robos con fuerza en domicilios;440.0;394.0;-10.5;
    8.-Hurtos;2450.0;2682.0;9.5;
    9.-Sustracciones de vehículos;74.0;59.0;-20.3;
    10.-Tráfico de drogas;51.0;81.0;58.8;
    Resto de infracciones penales;5461.0;6548.0;19.9;
    TOTAL INFRACCIONES PENALES;9037.0;10405.0;15.1;
Provincia de HUESCA;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;13.0;18.0;38.5;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;8.0;12.0;50.0;
    5.1.-Agresión sexual con penetración;1.0;0.0;-100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;7.0;12.0;71.4;
    6.-Robos con violencia e intimidación;25.0;13.0;-48.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;84.0;72.0;-14.3;
    7.1.-Robos con fuerza en domicilios;65.0;51.0;-21.5;
    8.-Hurtos;290.0;227.0;-21.7;
    9.-Sustracciones de vehículos;6.0;3.0;-50.0;
    10.-Tráfico de drogas;8.0;9.0;12.5;
    Resto de infracciones penales;823.0;797.0;-3.2;
    TOTAL INFRACCIONES PENALES;1257.0;1151.0;-8.4;
- Municipio de Huesca;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;6.0;6.0;0.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;0.0;1.0;100.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;0.0;1.0;100.0;
    6.-Robos con violencia e intimidación;4.0;4.0;0.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;6.0;11.0;83.3;
    7.1.-Robos con fuerza en domicilios;3.0;8.0;166.7;
    8.-Hurtos;80.0;68.0;-15.0;
    9.-Sustracciones de vehículos;2.0;0.0;-100.0;
    10.-Tráfico de drogas;1.0;1.0;0.0;
    Resto de infracciones penales;198.0;211.0;6.6;
    TOTAL INFRACCIONES PENALES;297.0;302.0;1.7;
Provincia de TERUEL;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;6.0;4.0;-33.3;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;3.0;8.0;166.7;
    5.1.-Agresión sexual con penetración;0.0;1.0;100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;3.0;7.0;133.3;
    6.-Robos con violencia e intimidación;4.0;4.0;0.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;46.0;41.0;-10.9;
    7.1.-Robos con fuerza en domicilios;33.0;29.0;-12.1;
    8.-Hurtos;93.0;105.0;12.9;
    9.-Sustracciones de vehículos;6.0;2.0;-66.7;
    10.-Tráfico de drogas;3.0;3.0;0.0;
    Resto de infracciones penales;391.0;435.0;11.3;
    TOTAL INFRACCIONES PENALES;552.0;602.0;9.1;
- Municipio de Teruel;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;3.0;3.0;0.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;0.0;2.0;100.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;0.0;2.0;100.0;
    6.-Robos con violencia e intimidación;1.0;2.0;100.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;5.0;5.0;0.0;
    7.1.-Robos con fuerza en domicilios;2.0;3.0;50.0;
    8.-Hurtos;37.0;35.0;-5.4;
    9.-Sustracciones de vehículos;3.0;0.0;-100.0;
    10.-Tráfico de drogas;2.0;2.0;0.0;
    Resto de infracciones penales;113.0;102.0;-9.7;
    TOTAL INFRACCIONES PENALES;164.0;151.0;-7.9;
Provincia de ZARAGOZA;
    1.-Homicidios dolosos y asesinatos consumados;0.0;3.0;100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;1.0;1.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;93.0;85.0;-8.6;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;60.0;50.0;-16.7;
    5.1.-Agresión sexual con penetración;6.0;5.0;-16.7;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;54.0;45.0;-16.7;
    6.-Robos con violencia e intimidación;163.0;239.0;46.6;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;495.0;485.0;-2.0;
    7.1.-Robos con fuerza en domicilios;342.0;314.0;-8.2;
    8.-Hurtos;2067.0;2350.0;13.7;
    9.-Sustracciones de vehículos;62.0;54.0;-12.9;
    10.-Tráfico de drogas;40.0;69.0;72.5;
    Resto de infracciones penales;4247.0;5316.0;25.2;
    TOTAL INFRACCIONES PENALES;7228.0;8652.0;19.7;
- Municipio de Zaragoza;
    1.-Homicidios dolosos y asesinatos consumados;0.0;1.0;100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;1.0;100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;67.0;61.0;-9.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;46.0;37.0;-19.6;
    5.1.-Agresión sexual con penetración;6.0;5.0;-16.7;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;40.0;32.0;-20.0;
    6.-Robos con violencia e intimidación;153.0;230.0;50.3;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;296.0;300.0;1.4;
    7.1.-Robos con fuerza en domicilios;207.0;187.0;-9.7;
    8.-Hurtos;1750.0;2074.0;18.5;
    9.-Sustracciones de vehículos;51.0;44.0;-13.7;
    10.-Tráfico de drogas;32.0;49.0;53.1;
    Resto de infracciones penales;2898.0;3782.0;30.5;
    TOTAL INFRACCIONES PENALES;5293.0;6579.0;24.3;
ASTURIAS (PRINCIPADO DE);
    1.-Homicidios dolosos y asesinatos consumados;2.0;0.0;-100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;2.0;2.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;81.0;96.0;18.5;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;36.0;39.0;8.3;
    5.1.-Agresión sexual con penetración;5.0;0.0;-100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;31.0;39.0;25.8;
    6.-Robos con violencia e intimidación;68.0;94.0;38.2;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;434.0;417.0;-3.9;
    7.1.-Robos con fuerza en domicilios;225.0;233.0;3.6;
    8.-Hurtos;1638.0;1726.0;5.4;
    9.-Sustracciones de vehículos;57.0;38.0;-33.3;
    10.-Tráfico de drogas;20.0;48.0;140.0;
    Resto de infracciones penales;3750.0;4104.0;9.4;
    TOTAL INFRACCIONES PENALES;6088.0;6564.0;7.8;
- Municipio de Avilés;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;4.0;5.0;25.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;2.0;3.0;50.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;2.0;3.0;50.0;
    6.-Robos con violencia e intimidación;2.0;8.0;300.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;33.0;40.0;21.2;
    7.1.-Robos con fuerza en domicilios;12.0;13.0;8.3;
    8.-Hurtos;149.0;147.0;-1.3;
    9.-Sustracciones de vehículos;5.0;9.0;80.0;
    10.-Tráfico de drogas;1.0;2.0;100.0;
    Resto de infracciones penales;274.0;244.0;-10.9;
    TOTAL INFRACCIONES PENALES;470.0;458.0;-2.6;
- Municipio de Gijón;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;1.0;0.0;-100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;19.0;27.0;42.1;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;6.0;14.0;133.3;
    5.1.-Agresión sexual con penetración;1.0;0.0;-100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;5.0;14.0;180.0;
    6.-Robos con violencia e intimidación;22.0;25.0;13.6;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;100.0;82.0;-18.0;
    7.1.-Robos con fuerza en domicilios;49.0;49.0;0.0;
    8.-Hurtos;508.0;606.0;19.3;
    9.-Sustracciones de vehículos;21.0;12.0;-42.9;
    10.-Tráfico de drogas;6.0;21.0;250.0;
    Resto de infracciones penales;964.0;1062.0;10.2;
    TOTAL INFRACCIONES PENALES;1647.0;1849.0;12.3;
- Municipio de Langreo;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;2.0;4.0;100.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;0.0;2.0;100.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;0.0;2.0;100.0;
    6.-Robos con violencia e intimidación;4.0;10.0;150.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;20.0;25.0;25.0;
    7.1.-Robos con fuerza en domicilios;12.0;16.0;33.3;
    8.-Hurtos;58.0;31.0;-46.6;
    9.-Sustracciones de vehículos;1.0;0.0;-100.0;
    10.-Tráfico de drogas;3.0;4.0;33.3;
    Resto de infracciones penales;186.0;206.0;10.8;
    TOTAL INFRACCIONES PENALES;274.0;282.0;2.9;
- Municipio de Mieres;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;5.0;3.0;-40.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;1.0;2.0;100.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;1.0;2.0;100.0;
    6.-Robos con violencia e intimidación;3.0;0.0;-100.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;17.0;11.0;-35.3;
    7.1.-Robos con fuerza en domicilios;7.0;5.0;-28.6;
    8.-Hurtos;36.0;28.0;-22.2;
    9.-Sustracciones de vehículos;1.0;0.0;-100.0;
    10.-Tráfico de drogas;0.0;1.0;100.0;
    Resto de infracciones penales;141.0;160.0;13.5;
    TOTAL INFRACCIONES PENALES;204.0;205.0;0.5;
- Municipio de Oviedo;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;1.0;1.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;25.0;28.0;12.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;13.0;10.0;-23.1;
    5.1.-Agresión sexual con penetración;3.0;0.0;-100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;10.0;10.0;0.0;
    6.-Robos con violencia e intimidación;30.0;45.0;50.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;108.0;86.0;-20.4;
    7.1.-Robos con fuerza en domicilios;57.0;43.0;-24.6;
    8.-Hurtos;506.0;538.0;6.3;
    9.-Sustracciones de vehículos;23.0;9.0;-60.9;
    10.-Tráfico de drogas;5.0;8.0;60.0;
    Resto de infracciones penales;846.0;974.0;15.1;
    TOTAL INFRACCIONES PENALES;1557.0;1699.0;9.1;
- Municipio de Siero;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;1.0;100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;2.0;3.0;50.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;2.0;0.0;-100.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;2.0;0.0;-100.0;
    6.-Robos con violencia e intimidación;1.0;0.0;-100.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;20.0;35.0;75.0;
    7.1.-Robos con fuerza en domicilios;10.0;27.0;170.0;
    8.-Hurtos;108.0;110.0;1.9;
    9.-Sustracciones de vehículos;1.0;0.0;-100.0;
    10.-Tráfico de drogas;1.0;0.0;-100.0;
    Resto de infracciones penales;182.0;247.0;35.7;
    TOTAL INFRACCIONES PENALES;317.0;396.0;24.9;
BALEARS (ILLES);
    1.-Homicidios dolosos y asesinatos consumados;3.0;1.0;-66.7;
    2.-Homicidios dolosos y asesinatos en grado tentativa;7.0;10.0;42.9;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;126.0;159.0;26.2;
    4.-Secuestro;1.0;0.0;-100.0;
    5.-Delitos contra la libertad e indemnidad sexual;105.0;147.0;40.0;
    5.1.-Agresión sexual con penetración;7.0;10.0;42.9;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;98.0;137.0;39.8;
    6.-Robos con violencia e intimidación;239.0;229.0;-4.2;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;1056.0;901.0;-14.7;
    7.1.-Robos con fuerza en domicilios;707.0;663.0;-6.2;
    8.-Hurtos;3632.0;3848.0;5.9;
    9.-Sustracciones de vehículos;304.0;231.0;-24.0;
    10.-Tráfico de drogas;59.0;62.0;5.1;
    Resto de infracciones penales;7489.0;8992.0;20.1;
    TOTAL INFRACCIONES PENALES;13021.0;14580.0;12.0;
- Isla de Formentera;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;1.0;2.0;100.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;0.0;4.0;100.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;0.0;4.0;100.0;
    6.-Robos con violencia e intimidación;0.0;2.0;100.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;19.0;9.0;-52.6;
    7.1.-Robos con fuerza en domicilios;17.0;6.0;-64.7;
    8.-Hurtos;8.0;11.0;37.5;
    9.-Sustracciones de vehículos;3.0;7.0;133.3;
    10.-Tráfico de drogas;0.0;0.0;0.0;
    Resto de infracciones penales;59.0;67.0;13.6;
    TOTAL INFRACCIONES PENALES;90.0;102.0;13.3;
- Isla de Eivissa;
    1.-Homicidios dolosos y asesinatos consumados;1.0;1.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;1.0;0.0;-100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;19.0;25.0;31.6;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;17.0;21.0;23.5;
    5.1.-Agresión sexual con penetración;0.0;1.0;100.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;17.0;20.0;17.6;
    6.-Robos con violencia e intimidación;16.0;19.0;18.8;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;131.0;104.0;-20.6;
    7.1.-Robos con fuerza en domicilios;97.0;71.0;-26.8;
    8.-Hurtos;462.0;551.0;19.3;
    9.-Sustracciones de vehículos;63.0;49.0;-22.2;
    10.-Tráfico de drogas;13.0;17.0;30.8;
    Resto de infracciones penales;1088.0;1265.0;16.3;
    TOTAL INFRACCIONES PENALES;1811.0;2052.0;13.3;
- Municipio de Eivissa;
    1.-Homicidios dolosos y asesinatos consumados;1.0;0.0;-100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;0.0;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;10.0;15.0;50.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;7.0;3.0;-57.1;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;7.0;3.0;-57.1;
    6.-Robos con violencia e intimidación;9.0;9.0;0.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;27.0;34.0;25.9;
    7.1.-Robos con fuerza en domicilios;17.0;13.0;-23.5;
    8.-Hurtos;184.0;239.0;29.9;
    9.-Sustracciones de vehículos;14.0;12.0;-14.3;
    10.-Tráfico de drogas;4.0;5.0;25.0;
    Resto de infracciones penales;313.0;363.0;16.0;
    TOTAL INFRACCIONES PENALES;569.0;680.0;19.5;
- Municipio de Santa Eulalia del Río;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;1.0;0.0;-100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;1.0;3.0;200.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;1.0;4.0;300.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;1.0;4.0;300.0;
    6.-Robos con violencia e intimidación;3.0;5.0;66.7;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;40.0;23.0;-42.5;
    7.1.-Robos con fuerza en domicilios;29.0;18.0;-37.9;
    8.-Hurtos;96.0;121.0;26.0;
    9.-Sustracciones de vehículos;14.0;13.0;-7.1;
    10.-Tráfico de drogas;2.0;1.0;-50.0;
    Resto de infracciones penales;259.0;301.0;16.2;
    TOTAL INFRACCIONES PENALES;417.0;471.0;12.9;
- Isla de Mallorca;
    1.-Homicidios dolosos y asesinatos consumados;2.0;0.0;-100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;6.0;8.0;33.3;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;100.0;124.0;24.0;
    4.-Secuestro;1.0;0.0;-100.0;
    5.-Delitos contra la libertad e indemnidad sexual;84.0;111.0;32.1;
    5.1.-Agresión sexual con penetración;6.0;7.0;16.7;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;78.0;104.0;33.3;
    6.-Robos con violencia e intimidación;218.0;203.0;-6.9;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;881.0;732.0;-16.9;
    7.1.-Robos con fuerza en domicilios;578.0;545.0;-5.7;
    8.-Hurtos;3035.0;3157.0;4.0;
    9.-Sustracciones de vehículos;234.0;171.0;-26.9;
    10.-Tráfico de drogas;43.0;43.0;0.0;
    Resto de infracciones penales;5925.0;7166.0;20.9;
    TOTAL INFRACCIONES PENALES;10529.0;11715.0;11.3;
- Municipio de Calvià;
    1.-Homicidios dolosos y asesinatos consumados;1.0;0.0;-100.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;1.0;0.0;-100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;8.0;8.0;0.0;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;1.0;2.0;100.0;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;1.0;2.0;100.0;
    6.-Robos con violencia e intimidación;8.0;5.0;-37.5;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;48.0;43.0;-10.4;
    7.1.-Robos con fuerza en domicilios;27.0;29.0;7.4;
    8.-Hurtos;169.0;185.0;9.5;
    9.-Sustracciones de vehículos;3.0;8.0;166.7;
    10.-Tráfico de drogas;2.0;1.0;-50.0;
    Resto de infracciones penales;469.0;534.0;13.9;
    TOTAL INFRACCIONES PENALES;710.0;786.0;10.7;
- Municipio de Inca;
    1.-Homicidios dolosos y asesinatos consumados;0.0;0.0;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;1.0;0.0;-100.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;3.0;10.0;233.3;
    4.-Secuestro;0.0;0.0;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;7.0;6.0;-14.3;
    5.1.-Agresión sexual con penetración;0.0;0.0;0.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;7.0;6.0;-14.3;
    6.-Robos con violencia e intimidación;8.0;10.0;25.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;25.0;34.0;36.0;
    7.1.-Robos con fuerza en domicilios;20.0;23.0;15.0;
    8.-Hurtos;68.0;51.0;-25.0;
    9.-Sustracciones de vehículos;1.0;7.0;600.0;
    10.-Tráfico de drogas;3.0;0.0;-100.0;
    Resto de infracciones penales;211.0;253.0;19.9;
    TOTAL INFRACCIONES PENALES;327.0;371.0;13.5;
- Municipio de Llucmajor;
