
Balances trimestrales de criminalidad - 2019. 1er Trimestre
Indicadores de seguridad 2019 - 1er Trimestre por geografía,  tipología penal y periodos.
Unidades: Hechos conocidos

;Enero-marzo 2019;
    5.1.-Agresión sexual con penetración;26.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;187.0;
    6.-Robos con violencia e intimidación;3549.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;2346.0;
    7.1.-Robos con fuerza en domicilios;1241.0;
    8.-Hurtos;26836.0;
    9.-Sustracciones de vehículos;1294.0;
    10.-Tráfico de drogas;140.0;
    Resto de infracciones penales;14123.0;
- Municipio de Alicante/Alacant;
    1.-Homicidios dolosos y asesinatos consumados;0.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;0.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;30.0;
    4.-Secuestro;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;26.0;
    5.1.-Agresión sexual con penetración;2.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;24.0;
    6.-Robos con violencia e intimidación;108.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;314.0;
    7.1.-Robos con fuerza en domicilios;264.0;
    8.-Hurtos;1670.0;
    9.-Sustracciones de vehículos;118.0;
    10.-Tráfico de drogas;57.0;
    Resto de infracciones penales;2306.0;
- Municipio de Valencia;
    1.-Homicidios dolosos y asesinatos consumados;3.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;8.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;106.0;
    4.-Secuestro;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;94.0;
    5.1.-Agresión sexual con penetración;7.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;87.0;
    6.-Robos con violencia e intimidación;517.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;715.0;
    7.1.-Robos con fuerza en domicilios;453.0;
    8.-Hurtos;5468.0;
    9.-Sustracciones de vehículos;187.0;
    10.-Tráfico de drogas;69.0;
    Resto de infracciones penales;5441.0;
- Municipio de Vigo;
    1.-Homicidios dolosos y asesinatos consumados;1.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;1.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;22.0;
    4.-Secuestro;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;17.0;
    5.1.-Agresión sexual con penetración;2.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;15.0;
    6.-Robos con violencia e intimidación;38.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;154.0;
    7.1.-Robos con fuerza en domicilios;65.0;
    8.-Hurtos;755.0;
    9.-Sustracciones de vehículos;55.0;
    10.-Tráfico de drogas;23.0;
    Resto de infracciones penales;1523.0;
- Municipio de Madrid;
    1.-Homicidios dolosos y asesinatos consumados;4.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;7.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;342.0;
    4.-Secuestro;1.0;
    5.-Delitos contra la libertad e indemnidad sexual;288.0;
    5.1.-Agresión sexual con penetración;27.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;261.0;
    6.-Robos con violencia e intimidación;2543.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;2367.0;
    7.1.-Robos con fuerza en domicilios;1252.0;
    8.-Hurtos;30206.0;
    9.-Sustracciones de vehículos;1281.0;
    10.-Tráfico de drogas;450.0;
    Resto de infracciones penales;27311.0;
- Municipio de Murcia;
    1.-Homicidios dolosos y asesinatos consumados;1.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;5.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;51.0;
    4.-Secuestro;0.0;
    5.-Delitos contra la libertad e indemnidad sexual;46.0;
    5.1.-Agresión sexual con penetración;2.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;44.0;
    6.-Robos con violencia e intimidación;170.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;519.0;
    7.1.-Robos con fuerza en domicilios;395.0;
    8.-Hurtos;1603.0;
    9.-Sustracciones de vehículos;127.0;
    10.-Tráfico de drogas;29.0;
    Resto de infracciones penales;2672.0;
- Municipio de Bilbao;
    1.-Homicidios dolosos y asesinatos consumados;1.0;
    2.-Homicidios dolosos y asesinatos en grado tentativa;1.0;
    3.-Delitos graves y menos graves de lesiones y riña tumultuaria;63.0;
    4.-Secuestro;2.0;
    5.-Delitos contra la libertad e indemnidad sexual;25.0;
    5.1.-Agresión sexual con penetración;5.0;
    5.2.-Resto de delitos contra la libertad e indemnidad sexual;20.0;
    6.-Robos con violencia e intimidación;198.0;
    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones;236.0;
    7.1.-Robos con fuerza en domicilios;120.0;
    8.-Hurtos;3118.0;
    9.-Sustracciones de vehículos;38.0;
    10.-Tráfico de drogas;10.0;
    Resto de infracciones penales;1659.0;
Notas:
(*) Se computan datos provenientes de las Fuerzas y Cuerpos de  Seguridad del Estado, policías autonómicas y policías locales que  proporcionan datos al Sistema Estadístico de Criminalidad.            
                         
 (**) Indicadores estadísticos de criminalidad utilizados por la  Oficina Estadística Europea (EUROSTAT).
Fuente: Ministerio del Interior
