,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
0,Desdeelotrolad2,Desdeelotrolado,766935428754726912,845062541080510465,/Desdeelotrolad2/status/845062541080510465,2017-03-23 23:59:44,1490313584,"23 La vampira de Barcelona, Crimen de Alcasser y el crimen de los Galindos: Crónica negra de España y Belchite  https://www.ivoox.com/17736641 ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">23 La vampira de <strong>Barcelona</strong>, <strong>Crimen</strong> de Alcasser y el <strong>crimen</strong> de los Galindos: Crónica negra de España y Belchite  <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.ivoox.com/17736641"" dir=""ltr"" href=""https://t.co/ILjz9rVrQU"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.ivoox.com/17736641""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">ivoox.com/17736641</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['https://www.ivoox.com/17736641'],[],False,[],,1,0,0,False,False,,[]
1,lbuxeres,Luis Buxeres,123937180,845038017635069953,/lbuxeres/status/845038017635069953,2017-03-23 22:22:18,1490307738,Condena unánime en Barcelona a la agresión de Tomic a Carroll. Las de Cristiano Ronaldo sin balón son como el hombre invisible en Madrid,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Condena unánime en <strong>Barcelona</strong> a la <strong>agresión</strong> de Tomic a Carroll. Las de Cristiano Ronaldo sin balón son como el hombre invisible en Madrid</p>",[],[],False,[],,2,0,0,False,False,,[]
2,seloro17,seloro17,1402402207,845022762590720000,/seloro17/status/845022762590720000,2017-03-23 21:21:41,1490304101,Quiero pedirte perdón en nombre de todos los fans del FC Barcelona por la agresión de Tomic @JayceeCarroll Nosotros no somos así Perdón,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Quiero pedirte perdón en nombre de todos los fans del FC <strong>Barcelona</strong> por la <strong>agresión</strong> de Tomic <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""465463432"" dir=""ltr"" href=""/JayceeCarroll""><s>@</s><b>JayceeCarroll</b></a> Nosotros no somos así Perdón</p>",[],[],False,[],,5,1,2,True,False,,[]
3,barcelona_010,barcelona_010,263571055,844924236938563585,/barcelona_010/status/844924236938563585,2017-03-23 14:50:10,1490280610,Dones i religions. La violència contra les #dones http://ow.ly/24Th309Yu90  @BibliotequesBCN @BCN_Dones #guiabcnpic.twitter.com/yurh8ibtGi,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ca"">Dones i religions. La <strong>violència</strong> contra les <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/dones?src=hash""><s>#</s><b>dones</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://ow.ly/24Th309Yu90"" dir=""ltr"" href=""https://t.co/2ASP9D6C6C"" rel=""nofollow noopener"" target=""_blank"" title=""http://ow.ly/24Th309Yu90""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">ow.ly/24Th309Yu90</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14902471"" dir=""ltr"" href=""/BibliotequesBCN""><s>@</s><b>BibliotequesBCN</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""2412893305"" dir=""ltr"" href=""/BCN_Dones""><s>@</s><b>BCN_Dones</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/guiabcn?src=hash""><s>#</s><b>guiabcn</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/yurh8ibtGi"">pic.twitter.com/yurh8ibtGi</a></p>",['http://ow.ly/24Th309Yu90'],"['dones', 'guiabcnpic']",True,['https://pbs.twimg.com/media/C7nGHTQX0AEnTmQ.jpg'],,1,0,0,False,False,,[]
4,TomVerdologa,Tom el verdologa,839843497268154370,844921166909378560,/TomVerdologa/status/844921166909378560,2017-03-23 14:37:58,1490279878,eso esta muy bn pero tambien q no sigan dirigiendo ladrones como en el partido del barcelona eso genera mas violencia,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">eso esta muy bn pero tambien q no sigan dirigiendo ladrones como en el partido del <strong>barcelona</strong> eso genera mas <strong>violencia</strong></p>",[],[],False,[],,0,0,0,False,True,844920471174950912,"[{'screen_name': 'minuto30com', 'user_id': '126560662'}]"
5,NuestroSevilla_,𝙊𝙣𝙘𝙚𝘽,566034769,844914757136207872,/NuestroSevilla_/status/844914757136207872,2017-03-23 14:12:30,1490278350,"Después del anuncio de cierre anuncian vuelta del árbitro que nos la lió en Barcelona. Incitación a la violencia no, lo siguiente https://twitter.com/2010MisterChip/status/825755366302556160 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""es"">Después del anuncio de cierre anuncian vuelta del árbitro que nos la lió en <strong>Barcelona</strong>. Incitación a la <strong>violencia</strong> no, lo siguiente <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/2010MisterChip/status/825755366302556160"" dir=""ltr"" href=""https://t.co/4XLIVXHnrV"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/2010MisterChip/status/825755366302556160""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/2010MisterChip</span><span class=""invisible"">/status/825755366302556160</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/2010MisterChip/status/825755366302556160'],[],False,[],,3,10,0,False,False,,[]
6,AMRODRI007,🇪🇸 AMRodriguez 🇪🇸,202154495,844901865196310529,/AMRODRI007/status/844901865196310529,2017-03-23 13:21:16,1490275276,"eres muy INCULTO y TORPE, por cometer el DELITO de falsear, es España, la matrícula de un vehículo!@barcelona_GUB","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">eres muy INCULTO y TORPE, por cometer el <strong>DELITO</strong> de falsear, es España, la matrícula de un vehículo!@<strong>barcelona</strong>_GUB</p>",[],[],False,[],,0,0,0,False,True,844302622647570434,"[{'screen_name': 'albertbotran', 'user_id': '2978274629'}]"
7,xemagil,Xema Gil,31687114,844854759693594625,/xemagil/status/844854759693594625,2017-03-23 10:14:06,1490264046,osalanEJGV: #AgendaPRL 25-26/05 Barcelona Curso sobre #mobbing y otras formas de violencia en el trabajo http://www.insht.es/InshtWeb/Contenidos/Formacion/CNCT_Barcelona/ficheros%20cursos%202017/Mobbing2017.pdf … INSHT_MEY…,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">osalanEJGV: <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AgendaPRL?src=hash""><s>#</s><b>AgendaPRL</b></a> 25-26/05 <strong>Barcelona</strong> Curso sobre <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/mobbing?src=hash""><s>#</s><b>mobbing</b></a> y otras formas de <strong>violencia</strong> en el trabajo <a class=""twitter-timeline-link"" data-expanded-url=""http://www.insht.es/InshtWeb/Contenidos/Formacion/CNCT_Barcelona/ficheros%20cursos%202017/Mobbing2017.pdf"" dir=""ltr"" href=""https://t.co/WekO3EgjdY"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.insht.es/InshtWeb/Contenidos/Formacion/CNCT_Barcelona/ficheros%20cursos%202017/Mobbing2017.pdf""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">insht.es/InshtWeb/Conte</span><span class=""invisible"">nidos/Formacion/CNCT_Barcelona/ficheros%20cursos%202017/Mobbing2017.pdf</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> INSHT_MEY…</p>",['http://www.insht.es/InshtWeb/Contenidos/Formacion/CNCT_Barcelona/ficheros%20cursos%202017/Mobbing2017.pdf'],"['AgendaPRL', 'mobbing']",False,[],,0,0,0,False,False,,[]
8,EditaOla,Edita Olaizola,146406912,844854544592875520,/EditaOla/status/844854544592875520,2017-03-23 10:13:14,1490263994,osalanEJGV: #AgendaPRL 25-26/05 Barcelona Curso sobre #mobbing y otras formas de violencia en el trabajo http://www.insht.es/InshtWeb/Contenidos/Formacion/CNCT_Barcelona/ficheros%20cursos%202017/Mobbing2017.pdf … INSHT_MEY…,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">osalanEJGV: <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AgendaPRL?src=hash""><s>#</s><b>AgendaPRL</b></a> 25-26/05 <strong>Barcelona</strong> Curso sobre <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/mobbing?src=hash""><s>#</s><b>mobbing</b></a> y otras formas de <strong>violencia</strong> en el trabajo <a class=""twitter-timeline-link"" data-expanded-url=""http://www.insht.es/InshtWeb/Contenidos/Formacion/CNCT_Barcelona/ficheros%20cursos%202017/Mobbing2017.pdf"" dir=""ltr"" href=""https://t.co/MtAvRC4sxm"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.insht.es/InshtWeb/Contenidos/Formacion/CNCT_Barcelona/ficheros%20cursos%202017/Mobbing2017.pdf""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">insht.es/InshtWeb/Conte</span><span class=""invisible"">nidos/Formacion/CNCT_Barcelona/ficheros%20cursos%202017/Mobbing2017.pdf</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> INSHT_MEY…</p>",['http://www.insht.es/InshtWeb/Contenidos/Formacion/CNCT_Barcelona/ficheros%20cursos%202017/Mobbing2017.pdf'],"['AgendaPRL', 'mobbing']",False,[],,0,0,0,False,False,,[]
9,osalanEJGV,Osalan,232143475,844853459471917056,/osalanEJGV/status/844853459471917056,2017-03-23 10:08:56,1490263736,#AgendaPRL 25-26/05 Barcelona Curso sobre #mobbing y otras formas de violencia en el trabajo http://www.insht.es/InshtWeb/Contenidos/Formacion/CNCT_Barcelona/ficheros%20cursos%202017/Mobbing2017.pdf … @INSHT_MEYSS,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/AgendaPRL?src=hash""><s>#</s><b>AgendaPRL</b></a> 25-26/05 <strong>Barcelona</strong> Curso sobre <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/mobbing?src=hash""><s>#</s><b>mobbing</b></a> y otras formas de <strong>violencia</strong> en el trabajo <a class=""twitter-timeline-link"" data-expanded-url=""http://www.insht.es/InshtWeb/Contenidos/Formacion/CNCT_Barcelona/ficheros%20cursos%202017/Mobbing2017.pdf"" dir=""ltr"" href=""https://t.co/y0em2YJENB"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.insht.es/InshtWeb/Contenidos/Formacion/CNCT_Barcelona/ficheros%20cursos%202017/Mobbing2017.pdf""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">insht.es/InshtWeb/Conte</span><span class=""invisible"">nidos/Formacion/CNCT_Barcelona/ficheros%20cursos%202017/Mobbing2017.pdf</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> @INSHT_MEYSS</p>",['http://www.insht.es/InshtWeb/Contenidos/Formacion/CNCT_Barcelona/ficheros%20cursos%202017/Mobbing2017.pdf'],"['AgendaPRL', 'mobbing']",False,[],,3,6,0,False,False,,[]
