,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
0,hdacostac,Harold Da Costa,80388261,957388326776004608,/hdacostac/status/957388326776004608,2018-01-27 23:02:19,1517094139,"Eso es paja, en Vzla es estadística en otro país es una catástrofe, en Barcelona hubo un asesinato hace 6 meses, violencia de género, y aún se habla de eso, en Vzla que te maten es ""bueno que chimbo"" y ya está otro más para los 300mensuales","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Eso es paja, en Vzla es estadística en otro país es una catástrofe, en <strong>Barcelona</strong> hubo un asesinato hace 6 meses, <strong>violencia</strong> de género, y aún se habla de eso, en Vzla que te maten es ""bueno que chimbo"" y ya está otro más para los 300mensuales</p>",[],[],False,[],,1,2,0,False,True,957366730799579138,"[{'screen_name': 'enfermiza_', 'user_id': '430271228'}, {'screen_name': 'danieIaac', 'user_id': '844428048'}]"
1,lextresabogados,𝕃𝕖𝕩𝕋𝕣𝕖𝕤𝔸𝕓𝕠𝕘𝕒𝕕𝕠𝕤,867779838924341249,957374046848548864,/lextresabogados/status/957374046848548864,2018-01-27 22:05:34,1517090734,"Aparece un anciano de 76 años muerto con signos de violencia en #Barcelona
http://www.laopiniondemurcia.es/sucesos/2018/01/26/aparece-anciano-muerto-76-anos/893101.html …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Aparece un anciano de 76 años muerto con signos de <strong>violencia</strong> en <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Barcelona?src=hash""><s>#</s><b><strong>Barcelona</strong></b></a>
<a class=""twitter-timeline-link"" data-expanded-url=""http://www.laopiniondemurcia.es/sucesos/2018/01/26/aparece-anciano-muerto-76-anos/893101.html"" dir=""ltr"" href=""https://t.co/RuWYs2niyY"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.laopiniondemurcia.es/sucesos/2018/01/26/aparece-anciano-muerto-76-anos/893101.html""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">laopiniondemurcia.es/sucesos/2018/0</span><span class=""invisible"">1/26/aparece-anciano-muerto-76-anos/893101.html</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['http://www.laopiniondemurcia.es/sucesos/2018/01/26/aparece-anciano-muerto-76-anos/893101.html'],['Barcelona'],False,[],,0,0,0,False,False,,[]
2,diariolaopinion,La Opinión de Murcia,129907921,957369414097174528,/diariolaopinion/status/957369414097174528,2018-01-27 21:47:10,1517089630,"Aparece un anciano de 76 años muerto con signos de violencia en #Barcelona
http://www.laopiniondemurcia.es/sucesos/2018/01/26/aparece-anciano-muerto-76-anos/893101.html …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Aparece un anciano de 76 años muerto con signos de <strong>violencia</strong> en <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Barcelona?src=hash""><s>#</s><b><strong>Barcelona</strong></b></a>
<a class=""twitter-timeline-link"" data-expanded-url=""http://www.laopiniondemurcia.es/sucesos/2018/01/26/aparece-anciano-muerto-76-anos/893101.html"" dir=""ltr"" href=""https://t.co/cwv8cmnBh4"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.laopiniondemurcia.es/sucesos/2018/01/26/aparece-anciano-muerto-76-anos/893101.html""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">laopiniondemurcia.es/sucesos/2018/0</span><span class=""invisible"">1/26/aparece-anciano-muerto-76-anos/893101.html</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['http://www.laopiniondemurcia.es/sucesos/2018/01/26/aparece-anciano-muerto-76-anos/893101.html'],['Barcelona'],False,[],,1,1,0,False,False,,[]
3,ZULU_AG,ZULU-AG,3224755714,957357686168936450,/ZULU_AG/status/957357686168936450,2018-01-27 21:00:33,1517086833,"""Por sacar banderas de España y del Espayol.
Aficionados del Barcelona y el Espanyol llegaron a las manos ""

FUERA LA POLITICA Y LA VIOLENCIA DEL DEPORTE EN GENERAL","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">""Por sacar banderas de España y del Espayol.
Aficionados del <strong>Barcelona</strong> y el Espanyol llegaron a las manos ""

FUERA LA POLITICA Y LA <strong>VIOLENCIA</strong> DEL DEPORTE EN GENERAL</p>",[],[],False,[],,0,0,0,False,False,,[]
4,pmenamendoza,Pablo Mena Mendoza,3003815632,957351224952741890,/pmenamendoza/status/957351224952741890,2018-01-27 20:34:53,1517085293,"Un centenar de independentistas imputados por actos de violencia el 1-O

Un juzgado de Barcelona les ha citado a declarar como investigados, acusados de “alteración del orden público”

https://m.elconfidencialdigital.com/politica/centenar-independentistas-imputados-actos-violencia_0_3083091685.html …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Un centenar de independentistas imputados por actos de <strong>violencia</strong> el 1-O

Un juzgado de <strong>Barcelona</strong> les ha citado a declarar como investigados, acusados de “alteración del orden público”

<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://m.elconfidencialdigital.com/politica/centenar-independentistas-imputados-actos-violencia_0_3083091685.html"" dir=""ltr"" href=""https://t.co/gFDqzLztOf"" rel=""nofollow noopener"" target=""_blank"" title=""https://m.elconfidencialdigital.com/politica/centenar-independentistas-imputados-actos-violencia_0_3083091685.html""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">m.elconfidencialdigital.com/politica/cente</span><span class=""invisible"">nar-independentistas-imputados-actos-violencia_0_3083091685.html</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://m.elconfidencialdigital.com/politica/centenar-independentistas-imputados-actos-violencia_0_3083091685.html'],[],False,[],,0,0,0,False,False,,[]
5,barcelona_cat,Barcelona,95695959,957299733126672406,/barcelona_cat/status/957299733126672406,2018-01-27 17:10:16,1517073016,"No justifiquis la violència masclista.
Les amenaces, les intimidacions, l’assetjament o el control són violència.
No et giris d’esquena.
#BCNantimasclista
http://barcelona.cat/bcnantimasclista …pic.twitter.com/Qp6nehxtmH","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ca"">No justifiquis la <strong>violència</strong> masclista.
Les amenaces, les intimidacions, l’assetjament o el control són <strong>violència</strong>.
No et giris d’esquena.
<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/BCNantimasclista?src=hash""><s>#</s><b>BCNantimasclista</b></a>
<a class=""twitter-timeline-link"" data-expanded-url=""http://barcelona.cat/bcnantimasclista"" dir=""ltr"" href=""https://t.co/8gL3AHnyOq"" rel=""nofollow noopener"" target=""_blank"" title=""http://barcelona.cat/bcnantimasclista""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">barcelona.cat/bcnantimasclis</span><span class=""invisible"">ta</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/Qp6nehxtmH"">pic.twitter.com/Qp6nehxtmH</a></p>",['http://barcelona.cat/bcnantimasclista'],['BCNantimasclista'],True,['https://pbs.twimg.com/media/DUkDCFLU8AAvDpe.jpg'],,7,6,0,False,False,,[]
6,jhcruyf,Cruyffista,3003293513,957277992698380288,/jhcruyf/status/957277992698380288,2018-01-27 15:43:53,1517067833,Enésima agresión de Cristiano Ronaldo. Como ya pasó en otras ocasiones quedará impune. Ya sabéis que aquí sólo se actúa de oficio cuando es un jugador del Barcelona.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Enésima <strong>agresión</strong> de Cristiano Ronaldo. Como ya pasó en otras ocasiones quedará impune. Ya sabéis que aquí sólo se actúa de oficio cuando es un jugador del <strong>Barcelona</strong>.</p>",[],[],False,[],,17,4,1,True,False,,[]
7,PedroTorresRome,Pedro Torres Romero,382654207,957264833292001280,/PedroTorresRome/status/957264833292001280,2018-01-27 14:51:36,1517064696,"Decathlon ha frenado una inversión de 12 millones de euros para la creación del primer parque deportivo de España en Barcelona, por la inseguridad jurídica provocada por el independentismo catalán https://okdiario.com/economia/empresas/2018/01/26/decathlon-frena-inversion-12-millones-euros-cataluna-inseguridad-juridica-1744989?utm_source=sharebuttons%3Futm_medium%3Dfacebook …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Decathlon ha frenado una inversión de 12 millones de euros para la creación del primer parque deportivo de España en <strong>Barcelona</strong>, por la <strong>inseguridad</strong> jurídica provocada por el independentismo catalán <a class=""twitter-timeline-link"" data-expanded-url=""https://okdiario.com/economia/empresas/2018/01/26/decathlon-frena-inversion-12-millones-euros-cataluna-inseguridad-juridica-1744989?utm_source=sharebuttons%3Futm_medium%3Dfacebook"" dir=""ltr"" href=""https://t.co/g6Nwj5NlBE"" rel=""nofollow noopener"" target=""_blank"" title=""https://okdiario.com/economia/empresas/2018/01/26/decathlon-frena-inversion-12-millones-euros-cataluna-inseguridad-juridica-1744989?utm_source=sharebuttons%3Futm_medium%3Dfacebook""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">okdiario.com/economia/empre</span><span class=""invisible"">sas/2018/01/26/decathlon-frena-inversion-12-millones-euros-cataluna-inseguridad-juridica-1744989?utm_source=sharebuttons%3Futm_medium%3Dfacebook</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://okdiario.com/economia/empresas/2018/01/26/decathlon-frena-inversion-12-millones-euros-cataluna-inseguridad-juridica-1744989?utm_source=sharebuttons%3Futm_medium%3Dfacebook'],[],False,[],,0,1,0,False,False,,[]
8,javiercheff,Javier Rodriguez,227654716,957241428119351296,/javiercheff/status/957241428119351296,2018-01-27 13:18:35,1517059115,Los Mossos siguen permitiendo la delincuencia organizada y la apología Terrorista. Algo lógico en su trayectoria de oculta e incluso favorecer se cometiera el atentado en Barcelona. Los Mossos deben ser disueltos.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Los Mossos siguen permitiendo la <strong>delincuencia</strong> organizada y la apología Terrorista. Algo lógico en su trayectoria de oculta e incluso favorecer se cometiera el atentado en <strong>Barcelona</strong>. Los Mossos deben ser disueltos.</p>",[],[],False,[],,0,0,0,False,False,,[]
9,FreeJordis1O,Freedom 🇧🇪🇨🇭🏴󠁧󠁢󠁳󠁣󠁴󠁿🇩🇪 🎗,913393947543851008,957237747210735617,/FreeJordis1O/status/957237747210735617,2018-01-27 13:03:58,1517058238,"No veig quina diferència hi ha en ser de Cornellà o de Barcelona. Ni perqué això incita a la violència. Algun “perico” m’ho pot explicar ? Busquets, dir que les eliminatòries duren 180 minuts incita a la violència ? Consequències de la judicialització d’Espanya. Tot val ...","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ca"">No veig quina diferència hi ha en ser de Cornellà o de <strong>Barcelona</strong>. Ni perqué això incita a la <strong>violència</strong>. Algun “perico” m’ho pot explicar ? Busquets, dir que les eliminatòries duren 180 minuts incita a la <strong>violència</strong> ? Consequències de la judicialització d’Espanya. Tot val ...</p>",[],[],False,[],,0,0,1,True,True,956902082640072704,"[{'screen_name': 'PabloMM', 'user_id': '19163995'}]"
