;type_of_crime;year;month;date;number_of_crimes;cum_sum
0;Abusos sexuals;2012;1;2012-01-01;7.0;0.4
1;Abusos sexuals;2012;2;2012-02-01;19.0;2.1142857142857143
2;Abusos sexuals;2012;3;2012-03-01;11.0;1.693233082706767
3;Abusos sexuals;2012;4;2012-04-01;11.0;1.693233082706767
4;Abusos sexuals;2012;5;2012-05-01;11.0;1.693233082706767
5;Abusos sexuals;2012;6;2012-06-01;14.0;1.9659603554340397
6;Abusos sexuals;2012;7;2012-07-01;23.0;2.6088174982911827
7;Abusos sexuals;2012;8;2012-08-01;14.0;2.217513150465096
8;Abusos sexuals;2012;9;2012-09-01;15.0;2.2889417218936674
9;Abusos sexuals;2012;10;2012-10-01;18.0;2.4889417218936676
10;Abusos sexuals;2012;11;2012-11-01;14.0;2.2667194996714453
11;Abusos sexuals;2012;12;2012-12-01;13.0;2.1952909282428736
12;Abusos sexuals;2013;1;2013-01-01;11.0;2.04144477439672
13;Abusos sexuals;2013;2;2013-02-01;9.0;1.859626592578538
14;Abusos sexuals;2013;3;2013-03-01;14.0;2.4151821481340936
15;Abusos sexuals;2013;4;2013-04-01;10.0;2.129467862419808
16;Abusos sexuals;2013;5;2013-05-01;15.0;2.629467862419808
17;Abusos sexuals;2013;6;2013-06-01;24.0;3.229467862419808
18;Abusos sexuals;2013;7;2013-07-01;23.0;3.1878011957531416
19;Abusos sexuals;2013;8;2013-08-01;11.0;2.666062065318359
20;Abusos sexuals;2013;9;2013-09-01;17.0;3.2115166107729043
21;Abusos sexuals;2013;10;2013-10-01;18.0;3.270340140184669
22;Abusos sexuals;2013;11;2013-11-01;22.0;3.492562362406891
23;Abusos sexuals;2013;12;2013-12-01;19.0;3.356198726043255
24;Abusos sexuals;2014;1;2014-01-01;14.0;3.093040831306413
25;Abusos sexuals;2014;2;2014-02-01;18.0;3.3787551170206984
26;Abusos sexuals;2014;3;2014-03-01;22.0;3.6009773392429207
27;Abusos sexuals;2014;4;2014-04-01;17.0;3.3737046119701937
28;Abusos sexuals;2014;5;2014-05-01;24.0;3.7854693178525465
29;Abusos sexuals;2014;6;2014-06-01;10.0;3.202135984519213
30;Abusos sexuals;2014;7;2014-07-01;19.0;4.102135984519213
31;Abusos sexuals;2014;8;2014-08-01;22.0;4.260030721361319
32;Abusos sexuals;2014;9;2014-09-01;25.0;4.396394357724955
33;Abusos sexuals;2014;10;2014-10-01;23.0;4.316394357724955
34;Abusos sexuals;2014;11;2014-11-01;16.0;4.012046531637999
35;Abusos sexuals;2014;12;2014-12-01;13.0;3.824546531637999
36;Abusos sexuals;2015;1;2015-01-01;12.0;3.747623454714922
37;Abusos sexuals;2015;2;2015-02-01;8.0;3.4142901213815886
38;Abusos sexuals;2015;3;2015-03-01;18.0;4.664290121381589
39;Abusos sexuals;2015;4;2015-04-01;14.0;4.442067899159366
40;Abusos sexuals;2015;5;2015-05-01;19.0;4.799210756302223
41;Abusos sexuals;2015;6;2015-06-01;22.0;4.957105493144328
42;Abusos sexuals;2015;7;2015-07-01;23.0;5.002560038598874
43;Abusos sexuals;2015;8;2015-08-01;31.0;5.350386125555396
44;Abusos sexuals;2015;9;2015-09-01;30.0;5.318128061039267
45;Abusos sexuals;2015;10;2015-10-01;29.0;5.2847947277059335
46;Abusos sexuals;2015;11;2015-11-01;13.0;4.733070589774899
47;Abusos sexuals;2015;12;2015-12-01;24.0;5.579224435928745
48;Abusos sexuals;2016;1;2016-01-01;28.0;5.745891102595412
49;Abusos sexuals;2016;2;2016-02-01;45.0;6.353033959738268
50;Abusos sexuals;2016;3;2016-03-01;32.0;6.06414507084938
51;Abusos sexuals;2016;4;2016-04-01;26.0;5.87664507084938
52;Abusos sexuals;2016;5;2016-05-01;30.0;6.030491224695534
53;Abusos sexuals;2016;6;2016-06-01;32.0;6.0971578913622
54;Abusos sexuals;2016;7;2016-07-01;37.0;6.2534078913622
55;Abusos sexuals;2016;8;2016-08-01;27.0;5.98313762109193
56;Abusos sexuals;2016;9;2016-09-01;23.0;5.834989472943782
57;Abusos sexuals;2016;10;2016-10-01;32.0;6.226293820769869
58;Abusos sexuals;2016;11;2016-11-01;23.0;5.945043820769869
59;Abusos sexuals;2016;12;2016-12-01;27.0;6.11895686424813
60;Abusos sexuals;2017;1;2017-01-01;13.0;5.600438345729612
61;Abusos sexuals;2017;2;2017-02-01;29.0;6.8312075764988425
62;Abusos sexuals;2017;3;2017-03-01;27.0;6.7622420592574635
63;Abusos sexuals;2017;4;2017-04-01;25.0;6.688167985183389
64;Abusos sexuals;2017;5;2017-05-01;27.0;6.768167985183389
65;Abusos sexuals;2017;6;2017-06-01;37.0;7.138538355553759
66;Abusos sexuals;2017;7;2017-07-01;39.0;7.192592409607814
67;Abusos sexuals;2017;8;2017-08-01;18.0;6.654130871146275
68;Abusos sexuals;2017;9;2017-09-01;29.0;7.265241982257386
69;Abusos sexuals;2017;10;2017-10-01;18.0;6.8859316374298
70;Abusos sexuals;2017;11;2017-11-01;32.0;7.6637094152075775
71;Abusos sexuals;2017;12;2017-12-01;33.0;7.6949594152075775
72;Abusos sexuals;2018;1;2018-01-01;31.0;7.634353354601517
73;Abusos sexuals;2018;2;2018-02-01;24.0;7.408546902988614
74;Abusos sexuals;2018;3;2018-03-01;26.0;7.491880236321947
75;Abusos sexuals;2018;4;2018-04-01;45.0;8.222649467091177
76;Abusos sexuals;2018;5;2018-05-01;25.0;7.778205022646732
77;Abusos sexuals;2018;6;2018-06-01;46.0;8.618205022646732
78;Abusos sexuals;2018;7;2018-07-01;47.0;8.639944153081515
79;Abusos sexuals;2018;8;2018-08-01;40.0;8.49100798286875
80;Abusos sexuals;2018;9;2018-09-01;39.0;8.46600798286875
81;Abusos sexuals;2018;10;2018-10-01;50.0;8.748059264920032
82;Abusos sexuals;2018;11;2018-11-01;24.0;8.228059264920033
83;Abusos sexuals;2018;12;2018-12-01;27.0;8.353059264920033
84;Abusos sexuals;2019;1;2019-01-01;28.0;8.390096301957069
85;Abusos sexuals;2019;2;2019-02-01;36.0;8.675810587671355
86;Abusos sexuals;2019;3;2019-03-01;55.0;9.203588365449134
87;Abusos sexuals;2019;4;2019-04-01;40.0;8.93086109272186
88;Abusos sexuals;2019;5;2019-05-01;45.0;9.05586109272186
89;Abusos sexuals;2019;6;2019-06-01;33.0;8.789194426055193
90;Abusos sexuals;2019;7;2019-07-01;36.0;8.880103516964285
91;Abusos sexuals;2019;8;2019-08-01;43.0;9.07454796140873
92;Abusos sexuals;2019;9;2019-09-01;49.0;9.21408284512966
93;Abusos sexuals;2019;10;2019-10-01;32.0;8.867144069619457
94;Abusos sexuals;2019;11;2019-11-01;29.0;8.773394069619457
95;Abusos sexuals;2019;12;2019-12-01;43.0;9.256152690309111
96;Acusació, denúncia falsa i simulació de delictes;2012;1;2012-01-01;9.0;10.506152690309111
97;Acusació, denúncia falsa i simulació de delictes;2012;2;2012-02-01;20.0;11.728374912531333
98;Acusació, denúncia falsa i simulació de delictes;2012;3;2012-03-01;14.0;11.428374912531332
99;Acusació, denúncia falsa i simulació de delictes;2012;4;2012-04-01;13.0;11.356946341102761
100;Acusació, denúncia falsa i simulació de delictes;2012;5;2012-05-01;11.0;11.203100187256608
101;Acusació, denúncia falsa i simulació de delictes;2012;6;2012-06-01;16.0;11.657645641802063
102;Acusació, denúncia falsa i simulació de delictes;2012;7;2012-07-01;9.0;11.220145641802063
103;Acusació, denúncia falsa i simulació de delictes;2012;8;2012-08-01;15.0;11.886812308468729
104;Acusació, denúncia falsa i simulació de delictes;2012;9;2012-09-01;9.0;11.486812308468728
105;Acusació, denúncia falsa i simulació de delictes;2012;10;2012-10-01;12.0;11.820145641802062
106;Acusació, denúncia falsa i simulació de delictes;2012;11;2012-11-01;3.0;11.070145641802062
107;Acusació, denúncia falsa i simulació de delictes;2012;12;2012-12-01;11.0;13.736812308468728
108;Acusació, denúncia falsa i simulació de delictes;2013;1;2013-01-01;10.0;13.645903217559637
109;Acusació, denúncia falsa i simulació de delictes;2013;2;2013-02-01;7.0;13.345903217559636
110;Acusació, denúncia falsa i simulació de delictes;2013;3;2013-03-01;11.0;13.917331788988207
111;Acusació, denúncia falsa i simulació de delictes;2013;4;2013-04-01;10.0;13.826422698079115
112;Acusació, denúncia falsa i simulació de delictes;2013;5;2013-05-01;18.0;14.626422698079116
113;Acusació, denúncia falsa i simulació de delictes;2013;6;2013-06-01;21.0;14.793089364745782
114;Acusació, denúncia falsa i simulació de delictes;2013;7;2013-07-01;21.0;14.793089364745782
115;Acusació, denúncia falsa i simulació de delictes;2013;8;2013-08-01;16.0;14.554994126650545
116;Acusació, denúncia falsa i simulació de delictes;2013;9;2013-09-01;26.0;15.179994126650545
117;Acusació, denúncia falsa i simulació de delictes;2013;10;2013-10-01;38.0;15.641532588189007
118;Acusació, denúncia falsa i simulació de delictes;2013;11;2013-11-01;35.0;15.562585219767954
119;Acusació, denúncia falsa i simulació de delictes;2013;12;2013-12-01;32.0;15.476870934053668
120;Acusació, denúncia falsa i simulació de delictes;2014;1;2014-01-01;29.0;15.383120934053668
121;Acusació, denúncia falsa i simulació de delictes;2014;2;2014-02-01;30.0;15.417603692674358
122;Acusació, denúncia falsa i simulació de delictes;2014;3;2014-03-01;34.0;15.550937026007691
123;Acusació, denúncia falsa i simulació de delictes;2014;4;2014-04-01;16.0;15.021525261301809
124;Acusació, denúncia falsa i simulació de delictes;2014;5;2014-05-01;30.0;15.896525261301809
125;Acusació, denúncia falsa i simulació de delictes;2014;6;2014-06-01;14.0;15.363191927968476
126;Acusació, denúncia falsa i simulació de delictes;2014;7;2014-07-01;16.0;15.506049070825618
127;Acusació, denúncia falsa i simulació de delictes;2014;8;2014-08-01;20.0;15.756049070825618
128;Acusació, denúncia falsa i simulació de delictes;2014;9;2014-09-01;17.0;15.606049070825618
129;Acusació, denúncia falsa i simulació de delictes;2014;10;2014-10-01;25.0;16.076637306119736
130;Acusació, denúncia falsa i simulació de delictes;2014;11;2014-11-01;28.0;16.196637306119737
131;Acusació, denúncia falsa i simulació de delictes;2014;12;2014-12-01;20.0;15.91092302040545
132;Acusació, denúncia falsa i simulació de delictes;2015;1;2015-01-01;28.0;16.31092302040545
133;Acusació, denúncia falsa i simulació de delictes;2015;2;2015-02-01;15.0;15.846637306119737
134;Acusació, denúncia falsa i simulació de delictes;2015;3;2015-03-01;13.0;15.713303972786404
135;Acusació, denúncia falsa i simulació de delictes;2015;4;2015-04-01;17.0;16.020996280478712
136;Acusació, denúncia falsa i simulació de delictes;2015;5;2015-05-01;19.0;16.13864333930224
137;Acusació, denúncia falsa i simulació de delictes;2015;6;2015-06-01;28.0;16.612327549828557
138;Acusació, denúncia falsa i simulació de delictes;2015;7;2015-07-01;23.0;16.43375612125713
139;Acusació, denúncia falsa i simulació de delictes;2015;8;2015-08-01;13.0;15.998973512561477
140;Acusació, denúncia falsa i simulació de delictes;2015;9;2015-09-01;14.0;16.075896589484554
141;Acusació, denúncia falsa i simulació de delictes;2015;10;2015-10-01;17.0;16.29018230377027
142;Acusació, denúncia falsa i simulació de delictes;2015;11;2015-11-01;21.0;16.525476421417327
143;Acusació, denúncia falsa i simulació de delictes;2015;12;2015-12-01;12.0;16.0969049928459
144;Acusació, denúncia falsa i simulació de delictes;2016;1;2016-01-01;14.0;16.263571659512568
145;Acusació, denúncia falsa i simulació de delictes;2016;2;2016-02-01;22.0;16.83500023094114
146;Acusació, denúncia falsa i simulació de delictes;2016;3;2016-03-01;22.0;16.83500023094114
147;Acusació, denúncia falsa i simulació de delictes;2016;4;2016-04-01;14.0;16.471363867304778
148;Acusació, denúncia falsa i simulació de delictes;2016;5;2016-05-01;13.0;16.399935295876205
149;Acusació, denúncia falsa i simulació de delictes;2016;6;2016-06-01;22.0;17.092242988183898
150;Acusació, denúncia falsa i simulació de delictes;2016;7;2016-07-01;9.0;16.501333897274808
151;Acusació, denúncia falsa i simulació de delictes;2016;8;2016-08-01;15.0;17.168000563941476
152;Acusació, denúncia falsa i simulació de delictes;2016;9;2016-09-01;12.0;16.968000563941477
153;Acusació, denúncia falsa i simulació de delictes;2016;10;2016-10-01;21.0;17.718000563941477
154;Acusació, denúncia falsa i simulació de delictes;2016;11;2016-11-01;11.0;17.241810087751002
155;Acusació, denúncia falsa i simulació de delictes;2016;12;2016-12-01;11.0;17.241810087751002
156;Acusació, denúncia falsa i simulació de delictes;2017;1;2017-01-01;12.0;17.332719178660092
157;Acusació, denúncia falsa i simulació de delictes;2017;2;2017-02-01;13.0;17.416052511993424
158;Acusació, denúncia falsa i simulació de delictes;2017;3;2017-03-01;9.0;17.108360204301118
159;Acusació, denúncia falsa i simulació de delictes;2017;4;2017-04-01;11.0;17.33058242652334
160;Acusació, denúncia falsa i simulació de delictes;2017;5;2017-05-01;11.0;17.33058242652334
161;Acusació, denúncia falsa i simulació de delictes;2017;6;2017-06-01;15.0;17.694218790159702
162;Acusació, denúncia falsa i simulació de delictes;2017;7;2017-07-01;9.0;17.294218790159704
163;Acusació, denúncia falsa i simulació de delictes;2017;8;2017-08-01;7.0;17.071996567937482
164;Acusació, denúncia falsa i simulació de delictes;2017;9;2017-09-01;6.0;16.92913942508034
165;Acusació, denúncia falsa i simulació de delictes;2017;10;2017-10-01;3.0;16.42913942508034
166;Acusació, denúncia falsa i simulació de delictes;2017;11;2017-11-01;15.0;20.42913942508034
167;Acusació, denúncia falsa i simulació de delictes;2017;12;2017-12-01;6.0;19.82913942508034
168;Acusació, denúncia falsa i simulació de delictes;2018;1;2018-01-01;10.0;20.495806091747006
169;Acusació, denúncia falsa i simulació de delictes;2018;2;2018-02-01;8.0;20.295806091747007
170;Acusació, denúncia falsa i simulació de delictes;2018;3;2018-03-01;8.0;20.295806091747007
171;Acusació, denúncia falsa i simulació de delictes;2018;4;2018-04-01;15.0;21.170806091747007
172;Acusació, denúncia falsa i simulació de delictes;2018;5;2018-05-01;6.0;20.570806091747006
173;Acusació, denúncia falsa i simulació de delictes;2018;6;2018-06-01;13.0;21.737472758413674
174;Acusació, denúncia falsa i simulació de delictes;2018;7;2018-07-01;5.0;21.122088143029057
175;Acusació, denúncia falsa i simulació de delictes;2018;8;2018-08-01;6.0;21.322088143029056
176;Acusació, denúncia falsa i simulació de delictes;2018;9;2018-09-01;4.0;20.988754809695724
177;Acusació, denúncia falsa i simulació de delictes;2018;10;2018-10-01;4.0;20.988754809695724
178;Acusació, denúncia falsa i simulació de delictes;2018;11;2018-11-01;1.0;20.238754809695724
179;Acusació, denúncia falsa i simulació de delictes;2018;12;2018-12-01;2.0;21.238754809695724
180;Acusació, denúncia falsa i simulació de delictes;2019;1;2019-01-01;6.0;23.238754809695724
181;Acusació, denúncia falsa i simulació de delictes;2019;2;2019-02-01;6.0;23.238754809695724
182;Acusació, denúncia falsa i simulació de delictes;2019;3;2019-03-01;9.0;23.738754809695724
183;Acusació, denúncia falsa i simulació de delictes;2019;4;2019-04-01;8.0;23.627643698584613
184;Acusació, denúncia falsa i simulació de delictes;2019;5;2019-05-01;3.0;23.002643698584613
185;Acusació, denúncia falsa i simulació de delictes;2019;6;2019-06-01;5.0;23.66931036525128
186;Acusació, denúncia falsa i simulació de delictes;2019;7;2019-07-01;7.0;24.06931036525128
187;Acusació, denúncia falsa i simulació de delictes;2019;8;2019-08-01;1.0;23.212167508108422
188;Acusació, denúncia falsa i simulació de delictes;2019;9;2019-09-01;5.0;27.212167508108422
189;Acusació, denúncia falsa i simulació de delictes;2019;10;2019-10-01;4.0;27.012167508108423
190;Acusació, denúncia falsa i simulació de delictes;2019;11;2019-11-01;6.0;27.512167508108423
191;Acusació, denúncia falsa i simulació de delictes;2019;12;2019-12-01;3.0;27.012167508108423
192;Administració deslleial;2015;7;2015-07-01;8.0;28.67883417477509
193;Administració deslleial;2015;8;2015-08-01;8.0;28.67883417477509
194;Administració deslleial;2015;9;2015-09-01;5.0;28.30383417477509
195;Administració deslleial;2015;10;2015-10-01;5.0;28.30383417477509
196;Administració deslleial;2015;11;2015-11-01;6.0;28.50383417477509
197;Administració deslleial;2015;12;2015-12-01;12.0;29.50383417477509
198;Administració deslleial;2016;1;2016-01-01;5.0;28.920500841441758
199;Administració deslleial;2016;2;2016-02-01;2.0;28.320500841441756
200;Administració deslleial;2016;3;2016-03-01;1.0;27.820500841441756
201;Administració deslleial;2016;4;2016-04-01;1.0;27.820500841441756
202;Administració deslleial;2016;5;2016-05-01;1.0;27.820500841441756
203;Administració deslleial;2016;11;2016-11-01;1.0;27.820500841441756
204;Administració deslleial;2016;12;2016-12-01;1.0;27.820500841441756
205;Administració deslleial;2017;5;2017-05-01;1.0;27.820500841441756
206;Administració deslleial;2017;6;2017-06-01;2.0;28.820500841441756
207;Administració deslleial;2017;9;2017-09-01;1.0;28.320500841441756
208;Administració deslleial;2017;11;2017-11-01;2.0;29.320500841441756
209;Administració deslleial;2017;12;2017-12-01;0.1;28.370500841441757
210;Administració deslleial;2018;2;2018-02-01;2.0;47.37050084144175
211;Administració deslleial;2018;6;2018-06-01;1.0;46.87050084144175
212;Administració deslleial;2018;7;2018-07-01;1.0;46.87050084144175
213;Administració deslleial;2019;4;2019-04-01;1.0;46.87050084144175
214;Administració deslleial;2019;5;2019-05-01;1.0;46.87050084144175
215;Administració deslleial;2019;7;2019-07-01;0.1;45.970500841441755
216;Administració deslleial;2019;9;2019-09-01;1.0;54.970500841441755
217;Administració deslleial;2019;12;2019-12-01;1.0;54.970500841441755
218;Agressions sexuals;2012;1;2012-01-01;15.0;55.220500841441755
219;Agressions sexuals;2012;2;2012-02-01;9.0;54.820500841441756
220;Agressions sexuals;2012;3;2012-03-01;11.0;55.04272306366398
221;Agressions sexuals;2012;4;2012-04-01;10.0;54.951813972754884
222;Agressions sexuals;2012;5;2012-05-01;20.0;55.951813972754884
223;Agressions sexuals;2012;6;2012-06-01;18.0;55.85181397275488
224;Agressions sexuals;2012;7;2012-07-01;19.0;55.90736952831044
225;Agressions sexuals;2012;8;2012-08-01;15.0;55.69684321252097
226;Agressions sexuals;2012;9;2012-09-01;13.0;55.563509879187635
227;Agressions sexuals;2012;10;2012-10-01;21.0;56.17889449457225
228;Agressions sexuals;2012;11;2012-11-01;9.0;55.60746592314368
229;Agressions sexuals;2012;12;2012-12-01;24.0;57.27413258981034
230;Agressions sexuals;2013;1;2013-01-01;13.0;56.81579925647701
231;Agressions sexuals;2013;2;2013-02-01;10.0;56.58503002570777
232;Agressions sexuals;2013;3;2013-03-01;16.0;57.185030025707775
233;Agressions sexuals;2013;4;2013-04-01;10.0;56.810030025707775
234;Agressions sexuals;2013;5;2013-05-01;23.0;58.11003002570777
235;Agressions sexuals;2013;6;2013-06-01;10.0;57.54481263440342
236;Agressions sexuals;2013;7;2013-07-01;18.0;58.34481263440342
237;Agressions sexuals;2013;8;2013-08-01;25.0;58.733701523292304
238;Agressions sexuals;2013;9;2013-09-01;29.0;58.8937015232923
239;Agressions sexuals;2013;10;2013-10-01;12.0;58.30749462674058
240;Agressions sexuals;2013;11;2013-11-01;19.0;58.89082796007391
241;Agressions sexuals;2013;12;2013-12-01;16.0;58.73293322323181
242;Agressions sexuals;2014;1;2014-01-01;15.0;58.67043322323181
243;Agressions sexuals;2014;2;2014-02-01;11.0;58.403766556565145
244;Agressions sexuals;2014;3;2014-03-01;15.0;58.76740292020151
245;Agressions sexuals;2014;4;2014-04-01;14.0;58.70073625353484
246;Agressions sexuals;2014;5;2014-05-01;11.0;58.48645053924913
247;Agressions sexuals;2014;6;2014-06-01;21.0;59.39554144834003
248;Agressions sexuals;2014;7;2014-07-01;11.0;58.91935097214956
249;Agressions sexuals;2014;8;2014-08-01;18.0;59.55571460851319
250;Agressions sexuals;2014;9;2014-09-01;25.0;59.94460349740208
251;Agressions sexuals;2014;10;2014-10-01;16.0;59.58460349740208
252;Agressions sexuals;2014;11;2014-11-01;10.0;59.20960349740208
253;Agressions sexuals;2014;12;2014-12-01;14.0;59.60960349740208
254;Agressions sexuals;2015;1;2015-01-01;11.0;59.39531778311636
255;Agressions sexuals;2015;2;2015-02-01;17.0;59.94077232857091
256;Agressions sexuals;2015;3;2015-03-01;19.0;60.05841938739444
257;Agressions sexuals;2015;4;2015-04-01;15.0;59.847893071604965
258;Agressions sexuals;2015;5;2015-05-01;19.0;60.11455973827163
259;Agressions sexuals;2015;6;2015-06-01;21.0;60.21982289616637
260;Agressions sexuals;2015;7;2015-07-01;18.0;60.076965753309224
261;Agressions sexuals;2015;8;2015-08-01;15.0;59.91029908664256
262;Agressions sexuals;2015;9;2015-09-01;22.0;60.37696575330923
263;Agressions sexuals;2015;10;2015-10-01;13.0;59.96787484421832
264;Agressions sexuals;2015;11;2015-11-01;15.0;60.121720998064475
265;Agressions sexuals;2015;12;2015-12-01;13.0;59.98838766473114
266;Agressions sexuals;2016;1;2016-01-01;20.0;60.52684920319268
267;Agressions sexuals;2016;2;2016-02-01;21.0;60.57684920319268
268;Agressions sexuals;2016;3;2016-03-01;19.0;60.481611107954585
269;Agressions sexuals;2016;4;2016-04-01;21.0;60.586874265849325
270;Agressions sexuals;2016;5;2016-05-01;18.0;60.44401712299218
271;Agressions sexuals;2016;6;2016-06-01;17.0;60.38846156743662
272;Agressions sexuals;2016;7;2016-07-01;25.0;60.85904980273074
273;Agressions sexuals;2016;8;2016-08-01;23.0;60.77904980273074
274;Agressions sexuals;2016;9;2016-09-01;14.0;60.38774545490465
275;Agressions sexuals;2016;10;2016-10-01;10.0;60.10203116919037
276;Agressions sexuals;2016;11;2016-11-01;20.0;61.10203116919037
277;Agressions sexuals;2016;12;2016-12-01;15.0;60.85203116919037
278;Agressions sexuals;2017;1;2017-01-01;12.0;60.652031169190366
279;Agressions sexuals;2017;2;2017-02-01;20.0;61.31869783585703
280;Agressions sexuals;2017;3;2017-03-01;16.0;61.11869783585703
281;Agressions sexuals;2017;4;2017-04-01;14.0;60.99369783585703
282;Agressions sexuals;2017;5;2017-05-01;13.0;60.92226926442846
283;Agressions sexuals;2017;6;2017-06-01;14.0;60.99919234135154
284;Agressions sexuals;2017;7;2017-07-01;27.0;61.92776376992297
285;Agressions sexuals;2017;8;2017-08-01;22.0;61.742578584737785
286;Agressions sexuals;2017;9;2017-09-01;25.0;61.87894222110142
287;Agressions sexuals;2017;10;2017-10-01;16.0;61.51894222110142
288;Agressions sexuals;2017;11;2017-11-01;22.0;61.89394222110142
289;Agressions sexuals;2017;12;2017-12-01;11.0;61.39394222110142
290;Agressions sexuals;2018;1;2018-01-01;30.0;63.121214948374146
291;Agressions sexuals;2018;2;2018-02-01;9.0;62.42121494837414
292;Agressions sexuals;2018;3;2018-03-01;21.0;63.75454828170748
293;Agressions sexuals;2018;4;2018-04-01;17.0;63.56407209123129
294;Agressions sexuals;2018;5;2018-05-01;18.0;63.62289562064306
295;Agressions sexuals;2018;6;2018-06-01;23.0;63.900673398420835
296;Agressions sexuals;2018;7;2018-07-01;26.0;64.03110818102954
297;Agressions sexuals;2018;8;2018-08-01;22.0;63.877262027183384
298;Agressions sexuals;2018;9;2018-09-01;18.0;63.695443845365205
299;Agressions sexuals;2018;10;2018-10-01;26.0;64.13988828980965
300;Agressions sexuals;2018;11;2018-11-01;21.0;63.947580597501954
301;Agressions sexuals;2018;12;2018-12-01;22.0;63.995199645121005
302;Agressions sexuals;2019;1;2019-01-01;13.0;63.5861087360301
303;Agressions sexuals;2019;2;2019-02-01;17.0;63.893801043722405
304;Agressions sexuals;2019;3;2019-03-01;17.0;63.893801043722405
305;Agressions sexuals;2019;4;2019-04-01;24.0;64.30556574960475
306;Agressions sexuals;2019;5;2019-05-01;19.0;64.09723241627142
307;Agressions sexuals;2019;6;2019-06-01;11.0;63.67617978469248
308;Agressions sexuals;2019;7;2019-07-01;28.0;65.22163433014703
309;Agressions sexuals;2019;8;2019-08-01;32.0;65.36449147300416
310;Agressions sexuals;2019;9;2019-09-01;24.0;65.11449147300416
311;Agressions sexuals;2019;10;2019-10-01;18.0;64.86449147300416
312;Agressions sexuals;2019;11;2019-11-01;19.0;64.92004702855972
313;Agressions sexuals;2019;12;2019-12-01;40.0;66.02531018645446
314;Alteració dels preus;2012;2;2012-02-01;1.0;65.05031018645447
315;Alteració dels preus;2012;6;2012-06-01;0.1;64.15031018645446
316;Altres delictes contra l'ordre públic;2012;1;2012-01-01;53.0;64.00514889613189
317;Altres delictes contra l'ordre públic;2012;2;2012-02-01;67.0;64.26929983952812
318;Altres delictes contra l'ordre públic;2012;3;2012-03-01;78.0;64.43347894400573
319;Altres delictes contra l'ordre públic;2012;4;2012-04-01;76.0;64.4078379183647
320;Altres delictes contra l'ordre públic;2012;5;2012-05-01;97.0;64.68415370783839
321;Altres delictes contra l'ordre públic;2012;6;2012-06-01;83.0;64.53982381093117
322;Altres delictes contra l'ordre públic;2012;7;2012-07-01;68.0;64.3591009193649
323;Altres delictes contra l'ordre públic;2012;8;2012-08-01;94.0;64.74145386054137
324;Altres delictes contra l'ordre públic;2012;9;2012-09-01;104.0;64.84783683926477
325;Altres delictes contra l'ordre públic;2012;10;2012-10-01;88.0;64.69399068541861
326;Altres delictes contra l'ordre públic;2012;11;2012-11-01;88.0;64.69399068541861
327;Altres delictes contra l'ordre públic;2012;12;2012-12-01;81.0;64.61444523087316
328;Altres delictes contra l'ordre públic;2013;1;2013-01-01;75.0;64.54037115679908
329;Altres delictes contra l'ordre públic;2013;2;2013-02-01;61.0;64.35370449013242
330;Altres delictes contra l'ordre públic;2013;3;2013-03-01;80.0;64.66517989996848
331;Altres delictes contra l'ordre públic;2013;4;2013-04-01;88.0;64.76517989996847
332;Altres delictes contra l'ordre públic;2013;5;2013-05-01;103.0;64.93563444542302
333;Altres delictes contra l'ordre públic;2013;6;2013-06-01;78.0;64.69291599882108
334;Altres delictes contra l'ordre públic;2013;7;2013-07-01;90.0;64.84676215266724
335;Altres delictes contra l'ordre públic;2013;8;2013-08-01;89.0;64.83565104155613
336;Altres delictes contra l'ordre públic;2013;9;2013-09-01;87.0;64.81317913144377
337;Altres delictes contra l'ordre públic;2013;10;2013-10-01;76.0;64.68674234983457
338;Altres delictes contra l'ordre públic;2013;11;2013-11-01;38.0;64.18674234983457
339;Altres delictes contra l'ordre públic;2013;12;2013-12-01;51.0;64.52884761299246
340;Altres delictes contra l'ordre públic;2014;1;2014-01-01;48.0;64.4700240835807
341;Altres delictes contra l'ordre públic;2014;2;2014-02-01;66.0;64.8450240835807
342;Altres delictes contra l'ordre públic;2014;3;2014-03-01;86.0;65.148054386611
343;Altres delictes contra l'ordre públic;2014;4;2014-04-01;50.0;64.7294497354482
344;Altres delictes contra l'ordre públic;2014;5;2014-05-01;100.0;65.7294497354482
345;Altres delictes contra l'ordre públic;2014;6;2014-06-01;79.0;65.5194497354482
346;Altres delictes contra l'ordre públic;2014;7;2014-07-01;73.0;65.4435003683596
347;Altres delictes contra l'ordre públic;2014;8;2014-08-01;67.0;65.36130858753768
348;Altres delictes contra l'ordre públic;2014;9;2014-09-01;76.0;65.49563694574664
349;Altres delictes contra l'ordre públic;2014;10;2014-10-01;62.0;65.31142641943084
350;Altres delictes contra l'ordre públic;2014;11;2014-11-01;66.0;65.3759425484631
351;Altres delictes contra l'ordre públic;2014;12;2014-12-01;51.0;65.14866982119037
352;Altres delictes contra l'ordre públic;2015;1;2015-01-01;54.0;65.20749335060214
353;Altres delictes contra l'ordre públic;2015;2;2015-02-01;53.0;65.18897483208362
354;Altres delictes contra l'ordre públic;2015;3;2015-03-01;70.0;65.50972954906474
355;Altres delictes contra l'ordre públic;2015;4;2015-04-01;54.0;65.28115812049332
356;Altres delictes contra l'ordre públic;2015;5;2015-05-01;72.0;65.61449145382664
357;Altres delictes contra l'ordre públic;2015;6;2015-06-01;62.0;65.47560256493776
